"","RACESING","Freq"
"1","White",248540909.639995
"2","Black",41537064.9800001
"3","American Indian/Alaska Native",2744972.32
"4","Asian and/or Pacific Islander",15888289.82
"5","Other race, non-Hispanic",544256.339999999
