"","HL","Non-HL","HL_Prop","NonHL_Prop"
"First generation",8403737.5,13174700,0.389450695862478,0.610549304137522
"Second generation",601587.5,7705937.5,0.0724147685381627,0.927585231461837
"Third+ generation",1016037.5,68863025,0.0145399417744049,0.985460058225595
"Unknown",8716625,139503450,0.0588086667747267,0.941191333225273
