"","HL","Non-HL","HL_Prop","NonHL_Prop"
"0-17",0,72427603.0800063,0,1
"18-24",4544352.96000009,22693633.1999967,0.166838801272106,0.833161198727894
"25-34",7398725.03999998,32163343.799994,0.187015625242543,0.812984374757458
"35-44",5556362.27999991,40193858.8799908,0.121449954538341,0.878550045461659
"45-54",3047623.32000004,34314740.0399926,0.0815693399969289,0.918430660003071
"55-64",1575169.67999999,22534454.0399968,0.06533364843407,0.93466635156593
"65+",2210015.63999995,32840072.999995,0.063053068501463,0.936946931498537
