"","STATEFIP","Freq"
"1","Alabama",4023362.5
"2","Alaska",542612.5
"3","Arizona",3736337.5
"4","Arkansas",2296312.5
"5","California",29706500
"6","Colorado",3251250
"7","Connecticut",3284137.5
"8","Delaware",670337.5
"9","District of Columbia",587825
"10","Florida",13038612.5
"11","Georgia",6538612.5
"12","Hawaii",1127237.5
"13","Idaho",992400
"14","Illinois",11347612.5
"15","Indiana",5569237.5
"16","Iowa",2772162.5
"17","Kansas",2450975
"18","Kentucky",3618275
"19","Louisiana",4218637.5
"20","Maine",1237425
"21","Maryland",4776337.5
"22","Massachusetts",6044325
"23","Michigan",9367512.5
"24","Minnesota",4355475
"25","Mississippi",2553187.5
"26","Missouri",5097237.5
"27","Montana",795550
"28","Nebraska",1599987.5
"29","Nevada",1209300
"30","New Hampshire",1092737.5
"31","New Jersey",7685487.5
"32","New Mexico",1537312.5
"33","New York",17980637.5
"34","North Carolina",6596887.5
"35","North Dakota",646125
"36","Ohio",10793537.5
"37","Oklahoma",3135212.5
"38","Oregon",2780537.5
"39","Pennsylvania",11796312.5
"40","Rhode Island",1009362.5
"41","South Carolina",3508387.5
"42","South Dakota",702162.5
"43","Tennessee",4854937.5
"44","Texas",16794287.5
"45","Utah",1682350
"46","Vermont",548650
"47","Virginia",6094425
"48","Washington",4800375
"49","West Virginia",1804862.5
"50","Wisconsin",4873887.5
"51","Wyoming",457850
