"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Negative",8684,100226.72,0.0797350343473994,0.920264965652601
"0-9,999",2486900.54000001,21544028.7199999,0.103487489522077,0.896512510477923
"10,000-24,999",4908988.38000001,41442472.840001,0.105907953078332,0.894092046921668
"25,000-49,999",7050586.36000002,63688506.1000001,0.0996702970707014,0.900329702929299
"50,000-74,999",5020627.87999999,49594210.4400007,0.0919279088694357,0.908072091130564
"75,000-99,999",3052987.12,34128647.7200012,0.0821100829250117,0.917889917074988
"100,000+",6083933.58000002,70144692.6999985,0.0798116649466156,0.920188335053384
