"","HL","Non-HL","HL_Prop","NonHL_Prop"
"White",21094461.3799999,227446448.259996,0.084873196169414,0.915126803830586
"Black",1763429.82,39773635.1599999,0.04245436746311,0.95754563253689
"American Indian/Alaska Native",456985.48,2287986.84,0.166480906444987,0.833519093555013
"Asian and/or Pacific Islander",5183983.94,10704305.88,0.326277025326821,0.673722974673179
"Other race, non-Hispanic",113847.24,430409.1,0.209179446582101,0.790820553417899
