"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Kentucky",62803.8,7342.65,466.2,3596.4,9240.75,7009.65,2997,4845.15,1148.85,1665,782.55,2930.4,2114.55,732.6,815.85,0,0,133.2,0,0,0,999,0,0,1548.45,549.45,0,932.4,0,882.45,0,0,0,0,249.75,2763.9,0,799.2,99.9,183.15,0,0,149.85,0,0,0,0,133.2,0,0,0,0,249.75,0,0,0,0,0,1615.05,0,0,0,0,0,0
"Louisiana",64452.15,8175.15,3146.85,82151.0999999999,3663,5194.8,2897.1,4195.8,1914.75,9257.4,3246.75,1898.1,216.45,216.45,799.2,0,382.95,249.75,0,0,0,0,815.85,0,499.5,0,482.85,0,0,0,133.2,0,0,0,216.45,0,0,33.3,0,0,0,0,0,0,0,0,0,0,249.75,0,0,0,0,0,0,0,283.05,0,0,0,0,0,0,0,0
"Maine",6676.65,649.35,216.45,22077.9,616.05,1465.2,0,0,1665,1964.7,1082.25,249.75,233.1,216.45,0,0,0,0,0,0,0,0,499.5,0,266.4,116.55,0,0,0,0,0,0,0,0,0,116.55,0,1764.9,0,0,0,183.15,0,0,0,149.85,0,0,0,0,0,0,0,0,0,116.55,0,0,0,0,0,0,0,0,0
"Maryland",160406.1,35531.1,25058.25,43190.1,12054.6,8374.95,12887.1,20079.9,28954.35,416.25,6210.45,10739.25,4528.8,3213.45,2930.4,2281.05,2997,4029.3,0,0,25824.15,2730.6,2331,0,1415.25,482.85,3596.4,0,432.9,1332,1681.65,3063.6,0,0,815.85,0,1931.4,0,0,732.6,0,349.65,1232.1,0,0,0,0,0,0,0,0,66.6,149.85,0,832.5,116.55,0,0,0,233.1,0,0,0,0,0
"Massachusetts",236679.75,47402.55,59590.35,70063.2,4895.1,11172.15,16783.2,16000.65,34681.95,8807.85,76373.55,19463.85,7908.75,17016.3,5461.2,6976.35,3563.1,9190.8,1798.2,0,4545.45,3130.2,2464.2,632.7,2214.45,1565.1,1265.4,8824.5,1165.5,1182.15,932.4,0,116.55,216.45,3396.6,299.7,632.7,0,1731.6,0,2730.6,349.65,66.6,0,183.15,0,0,0,0,1065.6,0,66.6,399.6,0,116.55,349.65,0,0,0,1398.6,0,1165.5,0,0,0
"Michigan",109323.9,53979.3,16849.8,17982,5860.8,26323.65,8941.05,43689.6,6959.7,1598.4,3746.25,10189.8,3313.35,14568.75,8491.5,6626.7,749.25,3096.9,3796.2,0,2780.55,1581.75,1648.35,815.85,1598.4,1165.5,999,1448.55,1148.85,149.85,466.2,3113.55,1115.55,0,1598.4,299.7,4279.05,149.85,99.9,2014.65,1298.7,0,2131.2,0,10089.9,0,0,482.85,0,1132.2,0,0,283.05,0,0,0,333,0,0,0,0,599.4,0,0,0
"Minnesota",78621.3,13536.45,11571.75,15018.3,1764.9,12937.05,12570.75,6110.55,23493.15,3463.2,2380.95,1481.85,4845.15,2947.05,1182.15,1415.25,732.6,316.35,43872.75,0,3896.1,2813.85,6776.55,0,1165.5,0,0,9274.05,66.6,1315.35,466.2,1781.55,0,0,632.7,24841.8,1931.4,266.4,566.1,0,0,1481.85,682.65,0,432.9,965.7,0,0,0,499.5,0,832.5,0,0,0,0,0,0,0,0,0,2231.1,0,0,0
"Mississippi",39477.15,3263.4,4062.6,4895.1,3330,782.55,1481.85,2947.05,0,1548.45,466.2,682.65,266.4,649.35,0,0,116.55,0,0,0,0,0,0,0,149.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.1,0,0,0,0,0,0,0,0,0,166.5,0,0,0,0,0,4112.55,0,0,0,0,0,0,0,0
"Missouri",68897.7,10239.75,11821.5,11421.9,1698.3,19314,6160.5,3679.65,8175.15,3579.75,699.3,2047.95,1731.6,2364.3,1648.35,83.25,0,183.15,0,0,0,749.25,1764.9,0,3579.75,366.3,0,0,1232.1,299.7,649.35,0,3496.5,199.8,0,849.15,1964.7,33.3,183.15,0,0,166.5,333,0,0,0,0,0,382.95,715.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montana",9074.25,1381.95,183.15,1398.6,1998,6227.1,0,233.1,0,0,1032.3,66.6,682.65,0,499.5,0,0,0,482.85,199.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6160.5,0,266.4,0,0,0,0,0,0,0,1098.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
