"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Negative",18200,413200,0.0421882243857209,0.957811775614279
"0-9,999",3871200,48105000,0.0744802428803953,0.925519757119605
"10,000-24,999",5764000,87798400,0.0616059442682103,0.93839405573179
"25,000-49,999",3360200,59691200,0.0532930275933603,0.94670697240664
"50,000-74,999",445200,8081200,0.0522142991180334,0.947785700881967
"75,000-99,999",179200,3363200,0.050587172538392,0.949412827461608
"100,000+",433800,5539000,0.0726292526118403,0.92737074738816
