"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"New York",2877586.2,341974.35,589077.000000002,298584.45,68331.6,63702.9,66416.85,89527.05,98501.4,24159.15,62570.7,94755.1499999999,220695.75,121678.2,20762.55,81634.95,25774.2,49883.4,11505.15,0,7875.45,84165.75,13286.7,157808.7,9057.6,5910.75,17682.3,2031.3,24209.1,13303.35,22277.7,11022.3,32434.2,49.95,42191.1,3596.4,9690.3,5760.9,3463.2,6443.55,11938.05,7725.6,2414.25,0,0,5028.3,0,0,249.75,599.4,0,3646.35,2997,0,1665,1448.55,0,0,0,3779.55,0,0,0,0,0
"North Carolina",784148.399999999,49117.5,43173.45,41525.1,12321,25191.45,29020.95,18714.6,22494.15,17998.65,7292.7,9740.25,9157.5,6327,7009.65,6826.5,1365.3,8025.3,12271.05,0,1914.75,2747.25,2697.3,466.2,2281.05,0,2197.8,0,2597.4,4195.8,233.1,333,4095.9,732.6,549.45,3429.9,0,2131.2,2464.2,0,0,366.3,0,0,0,0,0,149.85,0,0,0,333,133.2,0,765.9,2947.05,0,0,0,333,3846.15,0,0,0,0
"North Dakota",27738.9,0,616.05,3779.55,11338.65,3962.7,765.9,699.3,5960.7,1132.2,0,216.45,3996,299.7,0,0,0,0,0,0,582.75,0,449.55,0,283.05,0,0,0,0,0,0,0,1098.9,0,0,416.25,0,149.85,715.95,599.4,0,183.15,0,0,0,0,0,1565.1,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ohio",279803.25,65817.45,44488.8,32251.05,16966.35,76789.8,40959,49633.65,39094.2,12753.9,1648.35,9157.5,19763.55,17382.6,11172.15,4645.35,4062.6,7059.6,133.2,0,8624.7,3180.15,5594.4,299.7,26923.05,0,10822.5,2297.7,7359.3,2314.35,1731.6,899.1,7725.6,449.55,1232.1,8774.55,4578.75,149.85,1631.7,566.1,5278.05,732.6,649.35,0,849.15,0,0,0,382.95,1082.25,166.5,399.6,0,0,1864.8,0,0,0,0,216.45,416.25,0,0,0,0
"Oklahoma",259024.05,13819.5,9190.8,8524.8,2014.65,18847.8,9090.9,1082.25,15034.95,6843.15,2863.8,4345.65,1515.15,382.95,1598.4,233.1,3479.85,732.6,3363.3,1515.15,0,0,6376.95,0,815.85,0,0,0,0,516.15,566.1,9790.2,0,16.65,0,0,0,1365.3,0,0,1381.95,0,0,0,0,0,316.35,599.4,499.5,0,83.25,0,0,0,0,333,4279.05,0,0,116.55,3230.1,0,0,0,0
"Oregon",334282.05,10023.3,16150.5,15834.15,34332.3,9240.75,9557.1,18015.3,2647.35,40476.15,2697.3,5677.65,26473.5,3063.6,11671.65,1298.7,6293.7,216.45,2763.9,166.5,1182.15,1082.25,5527.8,99.9,1748.25,283.05,5661,1365.3,4145.85,149.85,532.8,116.55,266.4,13486.5,0,5894.1,382.95,1115.55,782.55,133.2,0,432.9,0,0,0,782.55,33.3,982.35,0,1481.85,0,249.75,0,0,0,1348.65,0,0,0,133.2,99.9,0,0,0,0
"Pennsylvania",640042.65,86296.95,96536.7,59140.8,14052.6,122693.85,36580.05,28255.05,31268.7,32634,21312,24642,41308.65,33316.65,6260.4,15667.65,4512.15,12221.1,149.85,0,649.35,3546.45,2147.85,1282.05,10372.95,1431.9,3196.8,5960.7,12670.65,10472.85,1132.2,2897.1,3080.25,1115.55,9873.45,0,2913.75,0,1298.7,1531.8,5710.95,532.8,1914.75,0,0,5794.2,0,199.8,1398.6,0,283.05,632.7,582.75,0,1681.65,466.2,0,0,0,2064.6,0,0,0,0,0
"Rhode Island",121245.3,5161.5,8125.2,16167.15,449.55,1748.25,1265.4,2397.6,4029.3,566.1,45737.55,1814.85,516.15,4262.4,199.8,1448.55,616.05,2247.75,0,0,0,83.25,982.35,0,0,416.25,216.45,2580.75,599.4,715.95,0,899.1,199.8,0,0,0,0,83.25,0,0,0,0,0,0,0,216.45,0,0,0,299.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Carolina",223792.65,15601.05,9357.3,13270.05,7642.35,16250.4,1648.35,5328,1981.35,599.4,14119.2,5061.6,7825.5,3163.5,2963.7,432.9,1648.35,2497.5,0,0,1981.35,0,1032.3,0,116.55,0,5444.55,1365.3,1265.4,0,66.6,532.8,249.75,316.35,3812.85,0,0,0,0,0,815.85,0,0,0,0,749.25,0,0,149.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Dakota",11172.15,83.25,1365.3,516.15,5194.8,5011.65,0,0,0,382.95,432.9,0,233.1,949.05,0,0,0,999,0,0,166.5,0,2830.5,0,599.4,0,0,0,0,0,0,4079.25,0,0,0,0,0,266.4,0,0,0,116.55,416.25,0,0,0,0,10206.45,0,0,0,233.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tennessee",273309.75,15750.9,13802.85,15451.2,3829.5,13086.9,13752.9,8641.35,14119.2,7309.35,2713.95,9190.8,9140.85,3529.8,1048.95,5744.25,6077.25,4945.05,0,0,1065.6,765.9,7625.7,1048.95,1764.9,0,1548.45,2930.4,1481.85,4212.45,1498.5,216.45,66.6,1698.3,0,6843.15,582.75,482.85,366.3,3896.1,1681.65,4279.05,0,0,0,0,0,0,0,0,0,0,2464.2,0,0,499.5,0,0,0,233.1,0,0,0,0,0
"Texas",7663062.59999998,285397.65,191891.25,81485.1,89760.1500000001,51798.15,133533,84998.25,141425.1,200965.5,25258.05,60739.2,20862.45,10622.7,9140.85,4562.1,35148.15,2297.7,1615.05,2181.15,28504.8,5044.95,25824.15,566.1,11971.35,1748.25,8091.9,9557.1,3130.2,6726.6,11488.5,8091.9,6993,549.45,2530.8,1714.95,2264.4,1648.35,3396.6,6260.4,499.5,3646.35,765.9,0,316.35,283.05,0,0,2897.1,1748.25,0,1215.45,99.9,0,133.2,0,715.95,0,0,16.65,199.8,999,0,0,0
"Utah",329786.55,7675.65,19413.9,5028.3,5877.45,9440.55,0,6060.6,516.15,2963.7,29487.15,8508.15,1814.85,2730.6,4711.95,982.35,0,849.15,0,7758.9,1032.3,0,6709.95,0,2147.85,233.1,0,3196.8,133.2,482.85,0,83.25,2930.4,7975.35,0,1332,1265.4,549.45,2730.6,0,965.7,0,0,0,0,0,1714.95,133.2,732.6,116.55,0,499.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vermont",3246.75,1048.95,2464.2,5661,715.95,782.55,616.05,0,0,0,0,66.6,0,1198.8,1032.3,0,1065.6,466.2,0,0,0,432.9,0,0,566.1,0,0,0,0,0,166.5,0,2547.45,0,0,0,0,0,432.9,0,0,0,0,0,0,0,0,0,0,0,0,116.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia",660172.5,98451.45,51032.25,42773.85,53912.7,34182.45,36097.2,52247.7,24508.8,38594.7,5977.35,62087.85,12753.9,6543.45,8658,1198.8,23426.55,11438.55,466.2,616.05,27006.3,5344.65,5860.8,0,3962.7,333,2747.25,2997,965.7,5710.95,9390.6,4612.05,4445.55,382.95,1148.85,6743.25,3296.7,482.85,183.15,3596.4,2664,449.55,432.9,0,99.9,2464.2,0,0,349.65,166.5,0,316.35,1515.15,0,0,0,0,0,1698.3,932.4,0,149.85,0,0,0
"Washington",581401.350000001,78388.2,109440.45,23093.55,55694.25,28321.65,29703.6,33383.25,41142.15,68964.3,5927.4,68081.85,47485.8,7942.05,24025.95,1315.35,10855.8,3912.75,1381.95,116.55,16816.5,5760.9,8774.55,99.9,4279.05,865.8,9740.25,23459.85,25424.55,6343.65,13719.6,266.4,6759.9,18947.7,0,12903.75,2780.55,4145.85,2031.3,5228.1,0,1481.85,482.85,283.05,0,2963.7,0,0,283.05,333,532.8,1731.6,532.8,0,0,2031.3,0,0,616.05,0,0,0,0,0,0
"West Virginia",21578.4,5960.7,349.65,1898.1,815.85,1898.1,449.55,1132.2,199.8,516.15,0,715.95,399.6,982.35,1215.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0,0,0,83.25,0,0,0,0,0,233.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wisconsin",266633.1,28338.3,16350.3,7076.25,6743.25,42107.85,11921.4,5511.15,566.1,2813.85,666,3479.85,4961.7,4029.3,2580.75,4961.7,4695.3,1348.65,52880.4,0,1748.25,3146.85,399.6,0,3146.85,0,0,1148.85,1431.9,1914.75,0,7109.55,7026.3,0,6426.9,1165.5,0,2397.6,466.2,0,0,83.25,1182.15,0,0,599.4,0,233.1,0,2447.55,0,882.45,0,0,0,0,0,0,0,249.75,0,699.3,0,0,0
"Wyoming",18514.8,1431.9,1365.3,1282.05,99.9,1365.3,0,83.25,0,0,183.15,0,233.1,299.7,399.6,0,0,0,0,1265.4,0,0,0,0,0,0,0,0,0,382.95,0,0,0,0,0,0,0,499.5,0,0,466.2,0,0,0,0,0,765.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
