"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"New England Division",480768.75,74625.3,82534.05,129653.55,12121.2,19347.3,26689.95,22127.85,42673.95,13469.85,112920.3,22011.3,8724.6,31485.15,8358.3,16916.4,5810.85,16000.65,1798.2,0,4545.45,3846.15,6027.3,749.25,3912.75,2064.6,1265.4,11704.95,2497.5,2497.5,1098.9,516.15,1864.8,216.45,7525.8,416.25,732.6,1848.15,2547.45,649.35,3862.8,799.2,349.65,0,183.15,666,0,0,0,1315.35,0,183.15,432.9,0,116.55,466.2,0,0,0,1398.6,0,1165.5,0,0,0
"Middle Atlantic Division",2026754.55,308258.1,297568.8,212836.95,45154.8,117648.9,98950.95,83366.5500000001,91541.7,24492.15,63353.25,66966.3,86413.5,103013.55,20762.55,59956.65,9407.25,45321.3,6993,0,6809.85,49200.75,6260.4,89010.9,13203.45,4711.95,8058.6,4295.7,16416.9,13070.25,17549.1,7642.35,14219.1,682.65,26656.65,0,8591.4,3263.4,3796.2,4329,5627.7,6926.4,2680.65,0,599.4,8757.9,0,199.8,749.25,1381.95,283.05,2597.4,3479.85,0,5994,2331,0,0,0,1798.2,0,0,0,0,0
"East North Central Div",1121827.05,213369.75,115983.9,70962.3,49683.6,160389.45,88211.7,111038.85,60006.6,19980,11521.8,28188.45,31751.55,47335.95,28804.5,73676.25,11854.8,26356.95,22743.9,0,7326,7475.85,11671.65,2297.7,25507.8,1848.15,15401.25,3946.05,15967.35,6310.35,2930.4,17199.45,18414.9,449.55,8707.95,4728.6,15284.7,1615.05,2530.8,2730.6,4728.6,1698.3,7492.5,0,12587.4,1731.6,0,666,0,4428.9,0,2164.5,482.85,0,2614.05,1282.05,333,0,5611.05,466.2,616.05,1764.9,0,0,0
"West North Central Div",379453.5,38894.4,35514.45,39144.15,25141.5,56426.85,29104.2,19730.25,40076.55,19130.85,4462.2,4528.8,10822.5,6476.85,5361.3,2114.55,4179.15,2081.25,44039.25,416.25,6227.1,3563.1,13503.15,0,9057.6,366.3,0,9790.2,2264.4,2530.8,1115.55,11272.05,5377.95,199.8,632.7,28155.15,4145.85,2664,1465.2,1132.2,0,2114.55,1015.65,0,432.9,1681.65,0,11455.2,382.95,1215.45,0,1415.25,399.6,832.5,0,0,0,0,0,349.65,299.7,2231.1,0,0,0
"South Atlantic Division",2833863.3,220512.6,131618.25,369663.3,70995.6,116599.95,101098.8,106393.5,93006.9000000001,65384.55,93073.5,63236.7,42557.4,36097.2,21245.4,12037.95,24975,29070.9,11638.35,832.5,47569.05,21911.4,13220.1,9324,13120.2,8275.05,25957.35,4378.95,3829.5,9573.75,15018.3,6077.25,6593.4,316.35,6393.6,3762.9,9024.3,632.7,4245.75,4595.4,1914.75,2031.3,3496.5,0,0,1581.75,0,666,499.5,3330,632.7,1348.65,3346.65,0,2047.95,2564.1,882.45,0,682.65,1465.2,4428.9,333,0,0,0
"East South Central Div",294105.6,24508.8,25008.3,21445.2,15118.2,20629.35,14335.65,12720.6,10905.75,6543.45,2947.05,15567.75,8424.9,4029.3,3696.3,2780.55,3529.8,1998,0,0,1265.4,1415.25,2197.8,1048.95,2597.4,549.45,1431.9,932.4,183.15,1748.25,815.85,216.45,0,599.4,249.75,2763.9,582.75,1465.2,266.4,482.85,1265.4,1881.45,149.85,0,0,0,0,133.2,0,649.35,166.5,0,899.1,0,0,432.9,4112.55,0,1615.05,849.15,83.25,0,0,0,0
"West South Central Div",3922456.94999999,158940.9,91075.5000000001,139893.3,54295.65,41741.55,93323.25,56843.1,85198.05,68498.1,17965.35,27422.55,15601.05,7059.6,6027.3,1665,20512.8,2497.5,4945.05,3696.3,16766.55,2830.5,11438.55,0,8791.2,0,3396.6,5144.85,2597.4,4095.9,8091.9,9690.3,982.35,4628.7,1714.95,482.85,432.9,1898.1,4195.8,3646.35,316.35,3280.05,765.9,0,0,283.05,316.35,599.4,2697.3,532.8,83.25,382.95,99.9,0,0,333,5061.6,0,0,1198.8,2997,416.25,0,0,0
"Mountain Division",1698233.4,54528.75,55877.4,36080.55,60389.55,40059.9,25957.35,33433.2,19780.2,29304,30602.7,19896.75,15501.15,10905.75,12354.3,8674.65,9274.05,2447.55,1864.8,129320.55,12820.5,3413.25,5427.9,149.85,9224.1,3030.3,3363.3,2131.2,2047.95,4961.7,699.3,2747.25,7292.7,9523.8,466.2,1348.65,2264.4,17965.35,2580.75,2847.15,3046.95,1015.65,3113.55,0,549.45,1615.05,18165.15,3746.25,4362.3,1465.2,982.35,2997,2397.6,12154.5,149.85,0,0,10356.3,532.8,732.6,0,66.6,999,0,0
"Pacific Division",4480315.19999999,333599.4,522643.5,114252.3,385147.8,76173.75,111155.4,99983.25,53513.1,203679.45,56326.95,128737.8,96436.8,39294,102730.5,13453.2,77988.6,10972.35,41475.15,449.55,20346.3,20079.9,41625,2314.35,12920.4,63270,19314,34299,22627.35,23526.45,18231.75,9107.55,7742.25,44255.7,715.95,7026.3,3046.95,10772.55,6643.35,7009.65,5561.1,6060.6,4129.2,22843.8,7908.75,4745.25,699.3,1048.95,9657,1981.35,13186.8,3213.45,2231.1,283.05,1415.25,3896.1,0,0,1565.1,1698.3,99.9,1848.15,0,0,0
