"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Metropolitan status indeterminable (mixed)",931267.799999999,29004.3,32201.1,78138.45,47952,102247.65,15334.65,11954.7,10539.45,9057.6,6993,16833.15,12470.85,8924.4,9140.85,5977.35,3030.3,3030.3,5278.05,40526.1,1032.3,3946.05,4495.5,1981.35,6660,616.05,1681.65,1315.35,2247.75,3130.2,865.8,1431.9,266.4,1348.65,1864.8,4395.6,1581.75,13053.6,2181.15,765.9,1398.6,3896.1,532.8,632.7,199.8,2064.6,649.35,3746.25,4445.55,1032.3,1015.65,1415.25,482.85,1515.15,1282.05,1631.7,1898.1,2947.05,532.8,632.7,5810.85,2863.8,815.85,0,0
"Not in metropolitan area",703678.95,9290.7,24209.1,53646.3,25158.15,102231,3663,6110.55,5228.1,4612.05,6993,5178.15,7092.9,11588.4,11721.6,4612.05,1148.85,2647.35,3646.35,49450.5,466.2,865.8,10456.2,1381.95,24292.35,233.1,116.55,1248.75,2297.7,1415.25,166.5,5078.25,0,832.5,1315.35,0,0,11122.2,1665,333,416.25,1065.6,1848.15,16733.25,0,732.6,10273.05,9790.2,666,1115.55,5444.55,1431.9,33.3,8208.45,0,216.45,5461.2,299.7,0,233.1,1515.15,482.85,183.15,0,0
"In metropolitan area: In central/principal city",3554125.64999998,338044.95,486213.3,251648.1,138528,62986.95,118964.25,112137.75,129770.1,87562.35,67599,98851.05,94871.7,53862.75,45121.5,31668.3,46320.3,33399.9,35597.7,4478.85,24309,57325.95,24475.5,38428.2,11505.15,54162.45,15401.25,15684.3,16383.6,20779.2,17732.25,9507.15,22311,16350.3,20646,11804.85,6726.6,4229.1,4861.8,2713.95,8608.05,8474.85,4978.35,5344.65,2614.05,7708.95,0,0,10023.3,2397.6,1082.25,3030.3,3679.65,0,316.35,2430.9,666,249.75,5927.4,1931.4,199.8,2064.6,0,0,0
"In metropolitan area: Not in central/principal city",5194283.85000001,514901.25,320995.35,399516.749999999,219180.6,173060.1,207425.7,186446.7,153096.75,129553.65,161221.95,100699.2,88677.9000000001,130469.4,50183.1,89310.6,42890.4,53579.7,31768.2,9190.8,45454.5,24125.85,26390.25,50849.1,27289.35,10389.6,33116.85,28588.05,20729.25,17449.2,20412.9,14452.2,19946.7,11838.15,18598.05,7109.55,18581.4,6227.1,9523.8,10606.05,10089.9,4761.9,8574.75,0,14552.1,4628.7,2081.25,0,965.7,3280.05,1998,2747.25,5977.35,2297.7,4079.25,4329,99.9,5328,915.75,3296.7,16.65,699.3,0,0,0
"In metropolitan area: Central/principal city status indeterminable (mixed)",6854422.04999997,535996.8,494205.3,350982,287229.15,208491.3,243439.65,228987.45,198068.4,219696.75,150366.15,154994.85,113120.1,80852.4,93173.4,59706.9,74142.45,44089.2,59207.4,31068.9,52414.2,27472.5,45554.4,12254.4,28588.05,18714.6,27872.1,29786.85,26773.2,25541.1,26373.6,33999.3,19963.35,30502.8,10639.35,25374.6,17216.1,7492.5,10039.95,13003.65,5810.85,7609.05,7259.4,133.2,4895.1,5927.4,6177.15,4978.35,2247.75,8474.85,5794.2,5677.65,3596.4,1248.75,6660,2697.3,2264.4,1531.8,2630.7,3862.8,982.35,1714.95,0,0,0
