"","STATEFIP","Freq"
"1","Alabama",4931297.10000002
"2","Alaska",817448.4
"3","Arizona",7109450.1
"4","Arkansas",3039623.99999999
"5","California",39064829.4
"6","Colorado",5659201.80000003
"7","Connecticut",3603343.05000001
"8","Delaware",883332.450000002
"9","District of Columbia",672343.650000002
"10","Florida",21254490.9
"11","Georgia",10762476.75
"12","Hawaii",1406358.9
"13","Idaho",1778503.05
"14","Illinois",12589048.35
"15","Indiana",6656703.30000007
"16","Iowa",3099697.19999999
"17","Kansas",2985861.14999998
"18","Kentucky",4371307.65000001
"19","Louisiana",4728600.00000005
"20","Maine",1322526.15
"21","Maryland",6038305.65000002
"22","Massachusetts",6891784.64999998
"23","Michigan",10029943.3500001
"24","Minnesota",5684809.50000011
"25","Mississippi",2989474.2
"26","Missouri",6109800.75000009
"27","Montana",1164634.2
"28","Nebraska",1919195.54999999
"29","Nevada",3083696.55
"30","New Hampshire",1358889.75
"31","New Jersey",9029644.65000002
"32","New Mexico",1992938.39999999
"33","New York",19811235.5999998
"34","North Carolina",10308214.8000001
"35","North Dakota",829453.050000001
"36","Ohio",11680224.75
"37","Oklahoma",4076352.89999997
"38","Oregon",4172639.84999997
"39","Pennsylvania",12821166
"40","Rhode Island",1036962
"41","South Carolina",5052475.80000001
"42","South Dakota",854328.15
"43","Tennessee",6709600.35000001
"44","Texas",28444726.8000004
"45","Utah",3275371.35000001
"46","Vermont",608257.8
"47","Virginia",8656901.10000002
"48","Washington",7681227.75000004
"49","West Virginia",1765332.9
"50","Wisconsin",5762198.70000002
"51","Wyoming",573642.45
