"","HL","Non-HL","HL_Prop","NonHL_Prop"
"0-17",0,73980428.8499999,0,1
"18-24",5347080.89999998,25087703.8499998,0.175689788638969,0.824310211361031
"25-34",8789967.89999997,37018477.8000002,0.191885312100863,0.808114687899137
"35-44",6327649.34999997,35077204.3500004,0.152823854803282,0.847176145196718
"45-54",3740922.00000001,37711267.6500003,0.0902466680671471,0.909753331932853
"55-64",2252012.4,39770822.6999996,0.0535902062447954,0.946409793755205
"65+",2271576.14999999,49774758.7499985,0.0436452663643767,0.956354733635623
