"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Not Hispanic",8447800,203887400,0.0397852075397767,0.960214792460223
"Mexican",3164000,5593600,0.361286197131634,0.638713802868366
"Puerto Rican",926600,1110000,0.454973976234901,0.545026023765099
"Cuban",383400,424400,0.474622431294875,0.525377568705125
"Other",1150000,1975800,0.367905816111076,0.632094183888924
