"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Negative",11024.16,141943.2,0.0720687079910382,0.927931292008962
"0-9,999",2620894.08000001,20933451.8399973,0.111270085312575,0.888729914687425
"10,000-24,999",4843547.52000005,42593113.0800008,0.102105575281578,0.897894424718422
"25,000-49,999",6801364.07999983,70592751.6000134,0.0878796019599234,0.912120398040077
"50,000-74,999",4305162.96000011,51945413.5200115,0.0765354460239163,0.923464553976084
"75,000-99,999",2181441.35999997,27686178.2399932,0.0730370009132053,0.926962999086795
"100,000+",3568814.76000001,43274854.5600014,0.0761856364329724,0.923814363567028
