"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Negative",11262.5,156962.5,0.066949026601278,0.933050973398722
"0-9,999",2952287.5,28430387.5,0.0940738002735586,0.905926199726441
"10,000-24,999",5028225,53327012.5,0.0861657876038976,0.913834212396102
"25,000-49,999",5848287.5,78287025,0.0695104983415852,0.930489501658415
"50,000-74,999",2583062.5,38089650,0.0635084886457966,0.936491511354203
"75,000-99,999",913337.5,13356575,0.0640044218911644,0.935995578108836
"100,000+",1401525,17599500,0.0737604944996388,0.926239505500361
