"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"New Hampshire",20293.84,21823.56,3804.26,9255.14,0,2882.42,2899.12,1082.16,2231.12,0,4124.9,3029.38,3042.74,1309.28,661.32,971.94,3162.98,4428.84,327.32,0,0,0,464.26,230.46,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,0,0,1663.32,0,0,347.36,0,0,86.84,0,0,0,0,0,0,0,0,0,0,0,0
"New Jersey",1334273.22,85313.6199999999,87671.66,221816.08,76562.82,21987.22,16496.26,83717.1,42294.42,47872.22,56132.04,80574.16,36552.96,91823.28,63947.64,10510.98,4709.4,17491.58,5688.02,0,12815.58,1730.12,2034.06,7337.98,10524.34,0,4001.32,3637.26,13052.72,3577.14,0,6155.62,203.74,417.5,644.62,10267.16,5076.8,7371.38,5991.96,915.16,0,774.88,3109.54,1389.44,941.88,1496.32,3046.08,0,0,267.2,1917.16,2792.24,213.76,0,0,0,0,631.26,0,0,0,0
"New Mexico",550675.82,3283.22,4542.4,213.76,1576.48,5671.32,7521.68,841.68,2341.34,3714.08,1118.9,1152.3,0,0,1279.22,0,0,0,0,58824.08,1603.2,177.02,2471.6,0,0,0,0,654.64,0,0,0,0,0,0,8356.68,0,0,163.66,0,0,2194.38,0,0,313.96,277.22,0,0,0,0,0,1042.08,313.96,0,494.32,10467.56,0,824.98,0,0,3627.24,0,0
"New York",2708188.9,297216.58,475161.76,301468.4,73429.9,76539.44,22635.18,108008.92,213649.78,60975.04,49832.8,201502.2,91799.9,41476.12,86138.6,38440.06,41606.38,56850.14,22825.56,0,67731.86,9168.3,15731.4,32651.84,140039.52,5457.56,6389.42,7822.28,14869.68,13213.04,0,52431.32,3827.64,4071.46,5454.22,16285.84,6015.34,14756.12,6706.72,260.52,0,4622.56,4251.82,4746.14,4545.74,2404.8,4164.98,2398.12,153.64,177.02,2511.68,2912.48,8603.84,2909.14,0,0,110.22,140.28,0,0,0,0
"North Carolina",574934.240000001,22631.84,25487.54,31763.4,14088.12,19415.42,18977.88,11065.42,6402.78,23557.02,12311.24,10093.48,14091.46,2808.94,657.98,4953.22,2501.66,6462.9,3233.12,0,855.04,6496.3,6436.18,3690.7,0,364.06,851.7,9896.42,467.6,267.2,12408.1,597.86,5023.36,0,243.82,1322.64,0,1980.62,0,0,0,1376.08,180.36,3116.22,400.8,407.48,0,0,0,821.64,217.1,0,0,0,0,0,0,3490.3,868.4,0,0,0
"North Dakota",4779.54,1556.44,240.48,1325.98,0,6339.32,0,547.76,0,0,283.9,0,0,0,103.54,0,0,0,0,0,1002,0,0,0,0,0,0,0,430.86,0,0,0,0,0,0,0,0,0,0,0,327.32,0,0,0,417.5,2615.22,0,0,0,0,0,430.86,0,0,0,0,197.06,0,0,0,0,0
"Ohio",243933.56,40170.18,34275.08,49889.58,11943.84,89057.76,9385.4,8877.72,21720.02,32521.58,10243.78,16032,18937.8,0,7952.54,8844.32,17728.72,11152.26,1623.24,0,6008.66,3613.88,6740.12,6255.82,708.08,0,0,8293.22,12281.18,5651.28,0,3226.44,2802.26,12347.98,0,2638.6,4726.1,8861.02,744.82,0,0,0,975.28,0,1172.34,597.86,2334.66,0,0,1760.18,364.06,0,0,0,0,0,0,0,534.4,0,0,0
"Oklahoma",233719.84,4161.64,9134.9,5457.56,4602.52,9786.2,14675.96,3486.96,3129.58,1653.3,6502.98,941.88,4702.72,1462.92,0,1853.7,0,0,1890.44,0,487.64,1269.2,3807.6,0,0,8279.86,0,0,0,0,2454.9,0,0,0,8079.46,0,0,160.32,557.78,0,227.12,0,0,0,0,0,0,0,0,0,0,0,1336,0,0,0,247.16,0,2705.4,0,0,0
"Oregon",332657.32,9458.88,27030.62,7899.1,7785.54,17000.6,30584.38,15440.82,22104.12,2531.72,4762.84,2247.82,2154.3,1586.5,1189.04,12945.84,3373.4,1048.76,7678.66,33.4,2164.32,2177.68,838.34,253.84,0,484.3,0,1696.72,4101.52,7648.6,3106.2,0,4539.06,2902.46,3363.38,300.6,0,584.5,698.06,0,0,2915.82,1376.08,958.58,2097.52,621.24,0,0,193.72,287.24,0,440.88,1406.14,0,0,0,257.18,334,0,0,0,0
"Pennsylvania",504734.12,73162.7,74368.44,80380.44,18486.9,95744.4399999999,47812.1,20928.44,39191.56,31105.42,30854.92,43356.54,22020.62,12418.12,18770.8,3851.02,9883.06,15985.24,965.26,0,9121.54,4171.66,6215.74,1389.44,3363.38,110.22,891.78,8460.22,24709.32,7024.02,0,3974.6,4916.48,1676.68,0,2661.98,744.82,5060.1,527.72,0,1118.9,2257.84,2054.1,531.06,501,718.1,7872.38,0,0,0,2110.88,2267.86,420.84,708.08,0,0,0,1659.98,1042.08,0,0,0
