"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"New England Division",458628.76,181692.66,77341.04,62260.94,12287.86,19375.34,21209,14776.16,28052.66,22367.98,25995.22,56499.44,18907.74,116342.22,35073.34,6930.5,9699.36,18142.88,5975.26,220.44,4792.9,200.4,5267.18,1666.66,668,317.3,11659.94,721.44,4826.3,2645.28,0,5774.86,10708.04,7090.82,0,2945.88,4325.3,2862.38,2241.14,0,2127.58,0,3136.26,2501.66,2167.66,2080.82,1793.58,0,0,1950.56,340.68,637.94,928.52,273.88,0,0,470.94,380.76,0,0,0,0
"Middle Atlantic Division",2039029.91999999,222717.88,274811.86,322630.64,77701.76,120871.26,45981.78,93546.72,154725.5,63737.22,77905.5,166144.96,83977.62,65263.6,95096.4799999999,34709.28,32504.88,44054.6,8126.22,0,45427.34,7241.12,10280.52,23410.06,80223.46,4318.62,4866.38,8426.82,29168.22,11222.4,0,36649.82,2384.76,3450.22,2869.06,17845.62,9168.3,8059.42,5748.14,1175.68,1118.9,4408.8,6442.86,4201.72,2702.06,2150.96,8824.28,731.46,153.64,86.84,2588.5,4689.36,3657.3,1673.34,0,0,110.22,1800.26,1042.08,0,0,0
"East North Central Div",1204988.5,94952.86,103423.1,162791.6,66769.94,164187.72,20440.8,47641.76,52875.54,94615.52,49281.7,41726.62,44295.08,9094.82,139204.52,21255.76,37822.16,40888.28,5557.76,0,6833.64,5440.86,8156.28,12384.72,3109.54,728.12,2174.34,11362.68,17458.18,21753.42,11793.54,11713.38,3827.64,12568.42,4355.36,4973.26,24976.52,9231.76,2174.34,16072.08,4251.82,3440.2,13530.34,2849.02,5177,988.64,7277.86,0,0,7287.88,2050.76,714.76,0,1002,0,480.96,2304.6,143.62,808.28,0,0,0
"West North Central Div",383842.82,28383.32,32070.68,32925.72,9569.1,75083.2,23927.76,7501.64,21279.14,11239.1,23904.38,3463.58,26265.76,6843.66,4699.38,8967.9,16763.46,3580.48,5444.2,731.46,1305.94,4993.3,5247.14,3677.34,0,2358.04,0,5477.6,2054.1,2394.78,20584.42,4519.02,2201.06,22595.1,501,1843.68,861.72,364.06,1045.42,0,5681.34,1332.66,801.6,848.36,3844.34,8463.56,2304.6,3169.66,280.56,3727.44,1659.98,1209.08,1085.5,721.44,0,6322.62,514.36,0,1062.12,0,0,0
"South Atlantic Division",2908993.04,354774.8,127811.78,210727.28,98673.62,104582.08,72989.02,83319.6400000001,47297.74,68800.66,70757.9,57521.48,94869.36,87955.56,23359.96,26760.08,35607.74,26449.46,24358.62,237.14,18380.02,39164.84,13567.08,11162.28,6128.9,7257.82,3169.66,28039.3,5273.86,9171.64,7294.56,8460.22,7965.9,4011.34,3039.4,14549.04,7254.48,8209.72,3336.66,0,1062.12,7735.44,2004,6773.52,3734.12,2625.24,2211.08,1195.72,0,1255.84,5130.24,2010.68,3376.74,2949.22,0,243.82,263.86,2471.6,1038.74,511.02,0,0
"East South Central Div",304133.72,24121.48,19722.7,18516.96,10467.56,22999.24,14261.8,6967.24,6690.02,15066.74,13082.78,3049.42,5621.22,4221.76,1897.12,8289.88,3456.9,2608.54,1910.48,0,804.94,2535.06,4442.2,1696.72,0,1028.72,584.5,3249.82,3697.38,504.34,0,1025.38,814.96,2715.42,3914.48,845.02,0,63.46,0,0,2327.98,694.72,0,277.22,66.8,0,0,0,0,310.62,688.04,698.06,534.4,1456.24,0,0,340.68,0,253.84,0,0,0
"West South Central Div",3688004.62,180994.6,73169.38,100320.24,41726.62,53102.66,96706.36,27077.38,18967.86,33824.18,55651.08,13597.14,39615.74,14572.42,4295.24,8857.68,9953.2,4038.06,13814.24,561.12,4402.12,11078.78,13380.04,8540.38,0,6836.98,2822.3,4402.12,991.98,4148.28,708.08,604.54,1599.86,3096.18,9101.5,6649.94,641.28,424.18,2484.96,0,948.56,3309.94,885.1,3253.16,6335.98,915.16,384.1,998.66,0,1078.82,794.92,230.46,2014.02,283.9,0,307.28,975.28,895.12,2561.78,0,0,0
"Mountain Division",1630514.52,45287.06,45657.8,23109.46,60437.3,43814.12,29756.06,21232.38,25160.22,19812.88,9799.56,16512.96,16716.7,10661.28,8026.02,12628.54,27284.46,5905.12,3570.46,134037.54,7030.7,10581.12,5557.76,9595.82,1720.1,12341.3,2965.92,4933.18,704.74,4605.86,223.78,0,2818.96,901.8,24759.42,1940.54,6796.9,1816.96,1489.64,6469.58,15040.02,1830.32,2595.18,1833.66,2234.46,2371.4,203.74,3707.4,420.84,965.26,1953.9,2618.56,557.78,1015.36,8533.7,798.26,1636.6,911.82,10.02,3627.24,0,0
"Pacific Division",4355486.92000001,116054.98,439260.1,237524.1,403171.4,85437.2,206849.54,196689.26,131996.8,80460.6,79405.16,42815.46,34796.12,38079.34,10594.48,121789.76,24215,13987.92,87237.46,2227.78,22795.5,27337.9,34084.7,27294.48,2541.74,51686.5,57731.9,16653.24,14438.82,20687.96,34258.38,1179.02,32768.74,8573.78,16295.86,12044.04,9539.04,6506.32,18854.3,11299.22,1903.8,11148.92,4215.08,9255.14,3029.38,4111.54,470.94,12454.86,20988.56,2839,2391.44,3206.4,2862.38,1128.92,0,0,1092.18,1022.04,534.4,0,0,0
