"","HL","Non-HL","HL_Prop","NonHL_Prop"
"N/A or no schooling",663662.999999999,23833776.9599954,0.0270911165037559,0.972908883496244
"Nursery school to grade 4",337379.279999999,24420627.8399957,0.0136270774285187,0.986372922571481
"Grade 5, 6, 7, or 8",2146355.39999997,25603611.5999953,0.077346232519856,0.922653767480144
"Grade 9",999414.360000003,8226222.47999976,0.108330121522541,0.891669878477459
"Grade 10",806263.080000002,9322098.23999987,0.0796044942045977,0.920395505795402
"Grade 11",833880.600000004,8768091.35999979,0.0868447235082347,0.913155276491765
"Grade 12",8460985.67999991,76303752.0000025,0.0998172814731191,0.900182718526881
"1 year of college",3354414.84000004,28500138.2399944,0.105304093627567,0.894695906372433
"2 years of college",1340235.12,11207729.4,0.10680896633584,0.89319103366416
"4 years of college",3252841.20000002,26918556.8399941,0.107812080689406,0.892187919310594
"5+ years of college",2136816.35999997,14063101.080001,0.131902916660781,0.868097083339219
