"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"New England Division",357471.24,229950.84,42111.72,26432.28,38441.76,8225.28,66759,15907.92,33400.92,8382.36,39070.08,17221.68,14294.28,96818.4000000001,14451.36,7111.44,19834.92,2813.16,6197.52,5083.68,299.88,7068.6,4126.92,3355.8,6268.92,3298.68,3741.36,2898.84,12237.96,1527.96,0,2127.72,1270.92,8725.08,5554.92,913.92,1670.76,999.6,2813.16,499.8,6311.76,1328.04,1456.56,3470.04,599.76,3441.48,4026.96,1899.24,114.24,0,0,756.84,299.88,1556.52,0,271.32,0,0,0,0,0,0
"Middle Atlantic Division",1744259.15999999,222339.6,248586.24,136573.92,229194,79439.64,259838.88,27974.52,173359.2,80196.48,158565.12,87850.56,37584.96,55806.24,45538.92,42525.84,57634.08,19549.32,11495.4,28445.76,299.88,50651.16,9310.56,66958.92,13551.72,14137.2,14308.56,25104.24,4898.04,5355,0,15336.72,2670.36,17350.2,4883.76,5897.64,15036.84,2784.6,10153.08,1199.52,414.12,12366.48,357,5169.36,271.32,5897.64,4798.08,2856,0,71.4,342.72,985.32,342.72,4055.52,257.04,1042.44,0,0,0,299.88,0,0
"East North Central Div",1063860,106714.44,80125.08,193465.44,91749,55377.84,61332.6,25118.52,50665.44,39041.52,155866.2,80639.16,35400.12,9767.52,30630.6,18078.48,33286.68,13723.08,6940.08,34700.4,1884.96,7811.16,15008.28,4398.24,5197.92,23890.44,18249.84,11809.56,4998,5612.04,8011.08,10981.32,5997.6,12637.8,7325.64,3127.32,5069.4,7268.52,2998.8,1685.04,3512.88,10338.72,7596.96,8953.56,16436.28,6497.4,1313.76,2898.84,599.76,942.48,0,2656.08,2598.96,1913.52,0,556.92,0,599.76,1042.44,271.32,0,0
"West North Central Div",276546.48,42197.4,28145.88,102416.16,19620.72,6011.88,11866.68,37913.4,17978.52,9239.16,4312.56,9924.6,6768.72,2984.52,3941.28,11181.24,1656.48,7040.04,3798.48,11138.4,0,2698.92,7168.56,1156.68,742.56,5083.68,0,2113.44,4241.16,10053.12,15865.08,628.32,4469.64,1485.12,3412.92,342.72,656.88,12266.52,599.76,114.24,12223.68,1599.36,5554.92,314.16,0,1185.24,128.52,1670.76,1113.84,11324.04,0,2798.88,271.32,828.24,99.96,1413.72,0,0,314.16,0,0,0
"South Atlantic Division",1951990.31999999,301365.12,97161.12,134417.64,113925.84,60104.52,76954.92,53949.84,39984,67087.4400000001,31316.04,49765.8,26489.4,59961.72,31573.08,43939.56,23190.72,16564.8,25318.44,15779.4,2641.8,18578.28,21063,15008.28,5840.52,18207,6454.56,6711.6,4398.24,10067.4,7639.8,10610.04,18863.88,4112.64,6597.36,2270.52,10353,2984.52,2627.52,499.8,5183.64,2541.84,5740.56,6868.68,0,2741.76,4184.04,2613.24,928.2,0,0,456.96,1313.76,1756.44,199.92,1927.8,42.84,0,285.6,0,0,0
"East South Central Div",205060.8,41097.84,14479.92,44667.84,11509.68,4869.48,6940.08,19220.88,3327.24,14080.08,1185.24,9053.52,7325.64,1370.88,4098.36,2927.4,1085.28,728.28,2427.6,2399.04,385.56,2013.48,3384.36,385.56,856.8,2598.96,714,257.04,1642.2,1270.92,0,1299.48,628.32,1413.72,271.32,828.24,1485.12,456.96,0,1670.76,199.92,0,0,0,428.4,0,999.6,414.12,0,85.68,0,357,628.32,456.96,0,442.68,0,4498.2,542.64,0,0,0
"West South Central Div",2937510.24000007,245259,62589.24,75369.8399999999,62060.88,23147.88,9738.96,64559.88,6611.64,18049.92,7154.28,29616.72,14651.28,10581.48,19249.44,16250.64,3855.6,11224.08,10852.8,3998.4,214.2,2756.04,10124.52,771.12,1256.64,4798.08,3869.88,999.6,1756.44,14080.08,1670.76,2341.92,4312.56,2798.88,1285.2,3113.04,2627.52,1113.84,999.6,271.32,0,0,828.24,799.68,0,1570.8,1884.96,514.08,85.68,799.68,199.92,85.68,8610.84,471.24,0,642.6,0,2170.56,2299.08,299.88,0,0
"Mountain Division",1373393.27999999,41483.4,21234.36,57177.12,14265.72,37242.24,17864.28,10952.76,15393.84,14437.08,13166.16,9567.6,23804.76,9910.32,10538.64,1884.96,2756.04,38884.4399999999,4141.2,11138.4,115496.64,3127.32,7596.96,1485.12,3370.08,5997.6,3498.6,1013.88,856.8,2356.2,4826.64,2427.6,2427.6,1842.12,4798.08,999.6,1285.2,4441.08,1085.28,1785,0,1413.72,1042.44,0,271.32,1028.16,542.64,2499,0,3341.52,0,5583.48,499.8,614.04,10381.56,0,7939.68000000001,0,0,114.24,0,0
"Pacific Division",3677728.32,113768.76,441808.92,124064.64,179328.24,419803.440000001,64317.1200000001,213286.08,98346.36,184226.280000001,14322.84,60861.36,157051.44,35357.28,37299.36,19163.76,19620.72,47052.6,79368.24,16493.4,2698.92,25975.32,37656.36,10295.88,62960.52,17050.32,22719.48,19320.84,32686.92,8610.84,20249.04,9524.76,12909.12,913.92,13337.52,29445.36,5669.16,9396.24,20420.4,25404.12,3927,385.56,5397.84,1970.64,9367.68,1228.08,3841.32,6069,14708.4,228.48,15093.96,1485.12,0,1071,0,3998.4,0,0,971.04,1499.4,0,0
