"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Not Hispanic",10758987.5,215471275,0.0475576847284081,0.952442315271592
"Mexican",4977925,8359050,0.373242433160443,0.626757566839557
"Puerto Rican",807112.5,1810225,0.30837157989751,0.69162842010249
"Cuban",289262.5,748187.5,0.278820666056195,0.721179333943805
"Other",1904700,2858375,0.399888727345255,0.600111272654745
