"","Spanish","French","German","Italian","Chinese","Filipino, Tagalog","Polish","Korean","Hindi and related","Vietnamese","Japanese","Arabic","Portuguese","Greek","Russian","Persian, Iranian, Farsi","Thai, Siamese, Lao","Navajo","Yiddish, Jewish","Dutch","Armenian","Sub-Saharan Africa","Hebrew, Israeli","Dravidian","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Czech","Slovak","Swedish","Other East/Southeast Asian","Norwegian","Rumanian","Ukrainian, Ruthenian, Little Russian","Lithuanian","Finnish","Micronesian, Polynesian","Tibetan","Other Malayan","Turkish","Indonesian","Amharic, Ethiopian, etc","Danish","Near East Arabic dialect","Celtic","Siouan languages","Aleut, Eskimo","Albanian","Algonquian","American Indian, n.s","Athapascan","Muskogean","Slovene","Other or not reported","Other Balto-Slavic","Iroquoian","Hawaiian","Shoshonean/Hopi","Keres","Burmese, Lisu, Lolo","Tanoan languages","Other Persian dialects","Pima, Papago","Zuni","African, n.s","Mayan languages","Uralic","Basque","Hamitic","Yuman","Penutian-Sahaptin","Romany, Gypsy","Icelandic","Yaqui and other Sonoran, nec","Other Hokan languages","Other Altaic","Other Indian languages","Aztecan, Nahuatl, Uto-Aztecan","Salish, Flathead","Other Penutian","Kurukh","Caddoan","Caucasian, Georgian, Avar","English","N/A or blank"
"15",587.5,225,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1812.5,312.5,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",537.5,1262.5,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",4350,1075,500,275,0,0,0,0,0,850,0,487.5,0,0,0,0,1887.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,1075,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1162.5,400,0,0,0,0,312.5,137.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",4287.5,1625,862.5,0,0,0,500,0,362.5,325,1062.5,0,0,0,0,0,0,0,0,0,0,762.5,0,0,0,0,0,0,675,400,0,87.5,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2062.5,225,1275,0,262.5,0,0,0,0,0,0,0,362.5,0,487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",36137.5,2487.5,1650,225,1262.5,3687.5,162.5,1175,1075,2250,1725,0,0,262.5,0,162.5,1025,0,200,0,0,0,250,0,450,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,712.5,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",61187.5,1837.5,900,750,1962.5,4500,1012.5,1075,1562.5,712.5,975,450,100,1200,1275,787.5,0,162.5,675,587.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",212237.5,5875,8062.5,4087.5,10775,42062.5,2037.5,3712.5,350,8050,5675,5600,3287.5,1650,387.5,3150,4875,650,862.5,1812.5,775,250,375,462.5,687.5,225,937.5,0,737.5,3250,0,0,300,0,325,787.5,2337.5,1262.5,462.5,0,0,0,2437.5,412.5,225,0,0,0,225,0,0,0,0,187.5,0,0,0,0,0,0,200,0,0,0,0,0,0,325,100,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0
"26",85912.5,687.5,1775,2362.5,2012.5,1962.5,0,187.5,812.5,287.5,2462.5,162.5,1637.5,262.5,1287.5,362.5,3312.5,0,0,0,3562.5,0,0,0,0,0,362.5,0,0,462.5,0,0,0,0,225,0,4850,0,0,0,350,262.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",79512.5,1375,1862.5,1337.5,1237.5,5225,437.5,1787.5,0,1637.5,650,1012.5,2050,0,1212.5,0,0,0,0,0,912.5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,787.5,0,0,0,0,0,0,0,0,0,0,0,0,387.5,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"28",12675,612.5,262.5,350,2362.5,612.5,325,0,0,875,775,350,1275,162.5,0,875,0,0,0,0,0,0,0,0,100,0,0,0,0,487.5,0,0,0,0,0,325,0,325,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",36312.5,1937.5,3600,5575,14725,29312.5,712.5,1037.5,1625,1687.5,4337.5,2112.5,837.5,775,187.5,2887.5,712.5,0,262.5,0,1275,0,200,0,0,0,162.5,0,875,0,125,0,0,0,0,412.5,0,400,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",42287.5,7212.5,3625,2937.5,60450,17387.5,287.5,5137.5,0,4687.5,4425,1150,2137.5,2062.5,4575,2575,987.5,0,262.5,250,325,225,712.5,0,362.5,287.5,462.5,0,325,0,0,462.5,0,0,300,0,0,0,0,200,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",60675,3325,4125,3212.5,32812.5,27675,1100,6975,10212.5,3037.5,2787.5,2512.5,4062.5,725,1362.5,5337.5,412.5,0,0,1775,487.5,3050,1837.5,637.5,325,0,0,0,200,1700,287.5,775,0,0,0,0,362.5,712.5,0,162.5,2212.5,925,387.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",10037.5,262.5,325,0,362.5,0,562.5,0,1237.5,0,225,0,237.5,0,0,0,225,225,0,0,0,0,0,0,0,625,0,0,0,0,0,712.5,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",9962.5,650,550,1450,712.5,1337.5,162.5,650,0,0,325,0,0,0,0,650,575,0,0,0,487.5,0,662.5,0,0,0,0,0,262.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",16750,387.5,1075,3175,0,387.5,0,0,0,0,0,450,325,0,0,362.5,0,0,0,325,0,0,550,0,0,550,300,0,325,2512.5,0,0,0,0,0,687.5,0,0,387.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",16987.5,1525,1525,262.5,1100,13875,0,0,2637.5,2212.5,700,0,0,300,325,0,0,0,0,225,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",10975,0,312.5,1137.5,1500,0,0,912.5,962.5,587.5,550,575,387.5,0,0,500,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",33237.5,2687.5,2575,2712.5,10587.5,11812.5,1012.5,387.5,1137.5,1075,512.5,712.5,387.5,400,787.5,2837.5,950,0,0,450,325,362.5,0,0,225,287.5,0,0,162.5,0,225,0,0,0,0,287.5,0,937.5,0,712.5,0,187.5,162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",112212.5,5037.5,5375,6387.5,33362.5,34262.5,0,9200,7375,30200,5325,2512.5,2262.5,0,487.5,4487.5,762.5,0,0,1187.5,0,200,1600,2125,812.5,962.5,0,0,0,850,912.5,1200,225,0,0,1937.5,0,1137.5,0,200,1575,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",31400,350,3825,2400,1300,4062.5,300,225,1900,2112.5,2000,0,650,887.5,0,0,2112.5,0,0,0,187.5,0,0,187.5,500,0,0,587.5,200,875,0,0,0,0,300,0,2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",48537.5,1237.5,3050,1912.5,6437.5,8375,162.5,2625,2212.5,4275,2037.5,1362.5,862.5,900,500,1300,3000,0,0,187.5,0,625,0,0,462.5,137.5,0,0,325,0,0,450,0,0,487.5,450,2237.5,0,0,0,0,0,0,525,0,0,0,0,487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",25862.5,1287.5,2812.5,1137.5,100,400,200,0,1787.5,0,362.5,0,1125,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,225,0,0,0,225,0,425,0,200,0,0,237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0
"42",1575,362.5,262.5,262.5,0,0,0,0,0,0,0,0,0,262.5,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",121287.5,2000,2887.5,1362.5,837.5,6337.5,2075,2212.5,1787.5,4575,162.5,225,0,0,512.5,1900,1750,0,650,262.5,0,137.5,0,0,1050,0,200,300,100,625,0,0,0,225,0,0,262.5,325,0,0,0,0,0,0,0,0,0,300,0,737.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",139937.5,1375,6300,1725,3675,8862.5,0,3150,662.5,4575,1550,625,950,912.5,0,262.5,1200,0,0,512.5,0,0,0,525,0,0,300,0,0,2762.5,912.5,0,0,0,462.5,1037.5,0,0,325,687.5,262.5,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,0,0,0
"45",210787.5,5675,4662.5,7312.5,23187.5,12650,3137.5,15925,12800,41150,7887.5,6600,250,2050,3012.5,7087.5,2550,225,262.5,775,2312.5,0,1525,1087.5,0,0,0,0,1687.5,1912.5,425,1475,0,0,400,1300,300,2362.5,1512.5,300,0,125,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",767400,11237.5,13000,8012.5,85962.5,62775,2437.5,37562.5,15687.5,15287.5,24812.5,11637.5,3750,2950,5237.5,13475,5100,200,1100,2512.5,26850,1987.5,4225,887.5,2387.5,3212.5,2012.5,587.5,650,10412.5,487.5,325,387.5,0,525,5100,0,5212.5,812.5,5300,850,262.5,0,287.5,387.5,0,0,0,0,162.5,0,225,0,0,0,0,0,0,687.5,0,400,0,0,812.5,487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",569700,11912.5,8987.5,6425,31737.5,68487.5,1962.5,38000,9600,9362.5,11487.5,11850,3137.5,2887.5,8687.5,25287.5,6487.5,0,1550,1062.5,19462.5,1025,8250,1725,2662.5,1837.5,1587.5,287.5,1050,1450,162.5,1437.5,350,162.5,262.5,675,0,225,300,2300,525,325,625,0,0,0,0,0,912.5,0,0,187.5,550,550,0,0,325,0,0,0,0,187.5,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",3062.5,1075,1450,712.5,0,625,0,0,0,0,612.5,0,700,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2912.5,862.5,187.5,350,0,62.5,0,0,0,0,0,0,162.5,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,387.5,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0
"50",38937.5,0,0,0,1200,600,0,0,0,0,0,0,2075,0,200,0,300,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.5,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",6562.5,1437.5,737.5,0,1200,787.5,0,487.5,0,387.5,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",16925,0,650,250,0,812.5,0,0,0,0,0,0,2787.5,0,0,0,937.5,0,0,0,0,0,0,912.5,0,0,0,0,0,0,0,0,0,0,0,0,737.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",31675,325,1212.5,1300,1575,0,0,0,2237.5,225,0,975,3062.5,425,225,0,550,0,0,262.5,0,0,0,0,0,0,0,0,325,1362.5,0,0,0,0,0,0,162.5,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",8587.5,1537.5,2475,975,0,450,0,2100,862.5,0,412.5,337.5,750,0,300,0,0,0,0,0,0,0,0,0,0,337.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",12862.5,225,1425,112.5,0,0,37.5,487.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",118162.5,7987.5,10050,3900,3525,1125,2025,6187.5,1200,3750,2700,1125,0,1575,2887.5,1725,1087.5,0,0,787.5,0,225,75,487.5,937.5,600,562.5,0,487.5,0,1200,0,262.5,0,375,0,1275,337.5,0,1012.5,0,0,0,0,0,0,0,337.5,337.5,337.5,0,300,450,0,0,0,1162.5,0,0,0,0,0,0,112.5,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",6837.5,3187.5,0,1550,0,0,487.5,0,0,0,0,0,0,700,250,562.5,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",5412.5,900,350,4212.5,837.5,0,212.5,462.5,0,0,387.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",13950,1300,950,1462.5,0,0,937.5,0,812.5,0,0,0,2975,175,0,0,1400,0,0,0,0,0,0,0,0,975,0,212.5,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
