"","HL","Non-HL","HL_Prop","NonHL_Prop"
"N/A or no schooling",526872.6,22004806.4999997,0.0233836367747669,0.976616363225233
"Nursery school to grade 4",221411.7,26942530.5,0.00815094136078673,0.991849058639213
"Grade 5, 6, 7, or 8",1184031.45,22399661.25,0.0502055155255649,0.949794484474435
"Grade 9",619246.8,7009666.65,0.0811710349132352,0.918828965086765
"Grade 10",494688.150000001,7461847.34999998,0.0621738129616844,0.937826187038316
"Grade 11",597934.800000001,8255119.95,0.0675399415100196,0.93246005848998
"Grade 12",9162145.35000002,82490643.45,0.0999658108603021,0.900034189139698
"1 year of college",4965346.35,35345352.5999997,0.123176885525078,0.876823114474922
"2 years of college",2127986.55,18877270.5,0.101307332013821,0.898692667986179
"4 years of college",5331446.55,42777945.8999998,0.110819245026654,0.889180754973346
"5+ years of college",3498098.4,24855819.2999999,0.12337266535834,0.87662733464166
