"","HL","Non-HL","HL_Prop","NonHL_Prop"
"First generation",11802452.3999999,35635911.7500001,0.248795518384247,0.751204481615753
"Second generation",3753526.05,19533829.9500002,0.161183006349024,0.838816993650976
"Third+ generation",1320611.4,73879929.4500017,0.0175611955056832,0.982438804494317
"Unknown",11852618.8500001,169370992.800007,0.0654032812947731,0.934596718705227
