"","STATEFIP","Freq"
"1","Alabama",4725351.84000001
"2","Alaska",711607.04
"3","Arizona",6439239.44000003
"4","Arkansas",2887774.02
"5","California",37338865.3399996
"6","Colorado",5077845.42000001
"7","Connecticut",3504388.12
"8","Delaware",891155.42
"9","District of Columbia",625448.400000001
"10","Florida",18723455.4999998
"11","Georgia",9738167.46
"12","Hawaii",1380655.8
"13","Idaho",1577929.56
"14","Illinois",12862002.6600001
"15","Indiana",6494933.94000002
"16","Iowa",3106901.4
"17","Kansas",2895008.46
"18","Kentucky",4380607.05999999
"19","Louisiana",4613822.55999997
"20","Maine",1293789.08
"21","Maryland",5750130.63999999
"22","Massachusetts",6705784.79999999
"23","Michigan",9759005.71999987
"24","Minnesota",5332927.89999999
"25","Mississippi",2981347.46000001
"26","Missouri",5992624.66
"27","Montana",998386.119999999
"28","Nebraska",1836622.58
"29","Nevada",2701609.09999999
"30","New Hampshire",1309794.36
"31","New Jersey",8829720.85999997
"32","New Mexico",2068378.49999999
"33","New York",19440693.780001
"34","North Carolina",9514454.25999991
"35","North Dakota",648551.180000001
"36","Ohio",11529098.8399999
"37","Oklahoma",3794076.33999997
"38","Oregon",3853695.33999997
"39","Pennsylvania",12861641.9399997
"40","Rhode Island",1047971.76
"41","South Carolina",4673708.75999998
"42","South Dakota",820010.080000002
"43","Tennessee",6258732.48
"44","Texas",24942495.4200003
"45","Utah",2781164.55999999
"46","Vermont",624810.46
"47","Virginia",8050418.70000003
"48","Washington",6737377.86000003
"49","West Virginia",1884892.26
"50","Wisconsin",5700865.64
"51","Wyoming",555552.220000001
