"","Spanish","French","German","Italian","Chinese","Filipino, Tagalog","Polish","Korean","Hindi and related","Vietnamese","Japanese","Arabic","Portuguese","Greek","Russian","Persian, Iranian, Farsi","Thai, Siamese, Lao","Navajo","Yiddish, Jewish","Dutch","Armenian","Sub-Saharan Africa","Hebrew, Israeli","Dravidian","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Czech","Slovak","Swedish","Other East/Southeast Asian","Norwegian","Rumanian","Ukrainian, Ruthenian, Little Russian","Lithuanian","Finnish","Micronesian, Polynesian","Tibetan","Other Malayan","Turkish","Indonesian","Amharic, Ethiopian, etc","Danish","Near East Arabic dialect","Celtic","Siouan languages","Aleut, Eskimo","Albanian","Algonquian","American Indian, n.s","Athapascan","Muskogean","Slovene","Other or not reported","Other Balto-Slavic","Iroquoian","Hawaiian","Shoshonean/Hopi","Keres","Burmese, Lisu, Lolo","Tanoan languages","Other Persian dialects","Pima, Papago","Zuni","African, n.s","Mayan languages","Uralic","Basque","Hamitic","Yuman","Penutian-Sahaptin","Romany, Gypsy","Icelandic","Yaqui and other Sonoran, nec","Other Hokan languages","Other Altaic","Other Indian languages","Aztecan, Nahuatl, Uto-Aztecan","Salish, Flathead","Other Penutian","Kurukh","Caddoan","Caucasian, Georgian, Avar","English","N/A or blank"
"New England Division",226925,269337.5,25237.5,117212.5,40125,9450,69112.5,11612.5,21237.5,13687.5,8025,15050,99625,22900,12437.5,3012.5,7612.5,0,6837.5,3400,10575,4825,3525,1237.5,425,4175,937.5,2487.5,6550,6725,1000,1562.5,2050,4137.5,1850,500,1000,0,2075,350,975,1562.5,0,2050,525,0,2637.5,337.5,0,0,425,0,137.5,1850,0,0,0,0,425,0,0,0,0,0,0,1175,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middle Atlantic Division",1270325,218337.5,151250,398450,169250,66900,163412.5,84512.5,129025,14812.5,34225,50812.5,45687.5,67537.5,80475,20012.5,9750,0,71287.5,16950,9825,26487.5,30762.5,27287.5,22412.5,24275,5725,28212.5,6925,3400,3587.5,8062.5,21050,16087.5,1050,800,662.5,3037.5,9962.5,2500,2537.5,3875,0,5275,0,0,3325,925,3512.5,0,0,2125,225,675,425,0,0,0,837.5,0,512.5,0,0,1000,0,812.5,0,775,0,0,0,0,0,0,0,0,0,0,0,137.5,0,0,0,0
"East North Central Div",651475,108300,208350,94662.5,58187.5,51862.5,188612.5,48662.5,50887.5,11425,25450,49187.5,5575,35687.5,17737.5,7700,10762.5,112.5,8175,16787.5,1112.5,10975,7287.5,12162.5,28075,17500,12487.5,22287.5,9100,1762.5,7575,15737.5,8762.5,10912.5,11875,100,5437.5,2137.5,1312.5,2800,0,1400,8875,1887.5,112.5,162.5,8025,1875,937.5,0,0,7125,287.5,4537.5,700,0,287.5,0,587.5,0,912.5,0,0,300,0,237.5,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0
"West North Central Div",142050,34337.5,135725,11600,22775,6175,9100,10762.5,9875,16450,4287.5,9762.5,1912.5,2850,1500,4150,7937.5,0,1287.5,8700,0,2662.5,2175,3625,2175,900,15762.5,2050,10225,462.5,22937.5,462.5,962.5,1325,10337.5,1562.5,5825,3000,0,1850,362.5,3037.5,0,1037.5,12150,0,0,4837.5,1200,600,887.5,762.5,587.5,275,0,337.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,112.5,0,0,0,0,0,0,0,0,0,0,0
"South Atlantic Division",986862.5,255850,140062.5,71062.5,55837.5,51875,36575,67837.5,55275,32775,20125,40462.5,19512.5,28937.5,11087.5,25312.5,17900,0,17425,9350,4000,12612.5,12850,12387.5,3875,10137.5,6337.5,4362.5,5500,3537.5,4175,2950,3375,4550,5950,1175,1825,962.5,5487.5,737.5,8925,2462.5,0,1875,0,0,0,300,0,0,475,100,2912.5,387.5,1150,1037.5,0,225,1862.5,0,1912.5,0,0,1375,0,275,0,937.5,0,0,412.5,437.5,0,0,0,0,0,0,0,0,0,0,0,0
"East South Central Div",90525,42887.5,38350,7750,10137.5,4150,3650,8750,4087.5,9237.5,3975,4962.5,0,2487.5,1662.5,2425,3025,575,1362.5,1362.5,0,2287.5,75,2400,162.5,0,0,0,2062.5,0,300,0,912.5,650,575,2525,0,512.5,1012.5,0,187.5,450,0,187.5,0,0,0,0,75,0,3000,0,3637.5,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West South Central Div",2129362.5,305575,90225,15512.5,38912.5,18025,10462.5,21525,27162.5,51187.5,9225,12850,5700,5525,3625,6537.5,22287.5,1712.5,1425,8437.5,800,13625,4550,7050,1662.5,2050,17262.5,550,2487.5,2575,1025,2125,0,450,1012.5,1187.5,212.5,1537.5,1012.5,4775,2412.5,1812.5,0,1375,350,0,0,900,1662.5,125,6537.5,0,1225,0,5837.5,87.5,1587.5,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,312.5,0,0,0,87.5,0,0,0
"Mountain Division",849912.5,32187.5,49200,19512.5,12962.5,12512.5,11950,18350,10337.5,10762.5,11575,8112.5,3537.5,5700,6587.5,4425,6725,118950,1612.5,5537.5,262.5,1687.5,562.5,1950,3650,2662.5,2287.5,187.5,4175,3775,4362.5,300,2012.5,1575,1662.5,1262.5,1700,337.5,300,2112.5,0,1675,0,0,1812.5,0,0,3550,3187.5,7700,0,300,600,0,875,550,5262.5,7100,0,6262.5,0,5412.5,4612.5,112.5,0,0,1525,375,1237.5,450,0,0,512.5,75,487.5,0,0,237.5,0,0,0,0,0,0
"Pacific Division",3051462.5,106550,126687.5,76787.5,368037.5,456512.5,21837.5,157862.5,82712.5,154400,152925,53087.5,41137.5,21550,34562.5,76937.5,42500,1975,5825,15725,57575,8912.5,21937.5,9437.5,11587.5,9212.5,7375,2062.5,11050,33762.5,8425,12212.5,2837.5,387.5,5587.5,27775,17762.5,18662.5,5200,11100,7425,4550,9237.5,2575,687.5,15400,400,762.5,2812.5,3587.5,0,412.5,550,1987.5,75,6325,662.5,0,3087.5,0,2337.5,187.5,0,812.5,2562.5,0,900,325,762.5,1137.5,0,225,0,512.5,0,475,0,0,187.5,0,0,0,0,0
