"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"101",8677.32,1376.08,2661.98,0,270.54,1352.7,637.94,407.48,2538.4,360.72,470.94,0,0,594.52,0,1192.38,3707.4,283.9,0,0,0,0,0,0,0,878.42,0,0,0,287.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.98,0,0,0,0,0,0,0,0,0,0,0
"102",18356.64,447.56,0,0,0,330.66,0,0,0,0,0,0,0,327.32,0,0,0,0,0,0,0,0,0,0,0,440.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",1132.26,0,0,0,1810.28,0,0,0,0,0,0,0,0,0,0,0,0,447.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",7621.88,684.7,3637.26,1042.08,377.42,340.68,3052.76,2371.4,2007.34,0,360.72,0,988.64,0,0,140.28,0,0,0,0,0,0,0,0,0,0,0,0,323.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",6032.04,307.28,1386.1,0,0,2782.22,0,885.1,0,0,751.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",621.24,0,0,0,0,380.76,0,0,0,0,0,0,0,374.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",46947.04,3413.48,1543.08,905.14,5126.9,2010.68,223.78,3590.5,1543.08,0,307.28,925.18,0,297.26,1923.84,464.26,0,2224.44,1913.82,0,0,0,0,0,0,0,0,0,0,1025.38,0,0,0,0,0,0,227.12,243.82,0,0,0,0,0,694.72,0,0,0,0,0,0,0,267.2,0,0,0,0,0,0,0,0,0,0
"108",45507.5,1850.36,6419.48,15487.58,4883.08,2728.78,320.64,925.18,1005.34,2221.1,7511.66,3393.44,694.72,464.26,11466.22,0,2515.02,661.32,0,0,0,0,0,0,0,0,0,0,1482.96,0,0,1262.52,0,0,0,300.6,4452.22,0,0,0,0,247.16,2441.54,0,654.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",236338.4,8266.5,16322.58,20133.52,11332.62,3894.44,2575.14,3961.24,5076.8,6770.18,3283.22,1553.1,6192.36,300.6,24812.86,344.02,6770.18,4365.38,0,0,2341.34,3650.62,527.72,2297.92,537.74,0,0,207.08,1633.26,4171.66,0,370.74,1112.22,2171,0,1022.04,2648.62,1065.46,0,1452.9,0,0,1022.04,310.62,0,0,1486.3,0,0,267.2,0,0,0,0,0,0,0,0,0,0,0,0
"110",191939.78,6292.56,4649.28,35874.94,14158.26,5160.3,2321.3,15484.24,18286.5,9532.36,10647.92,6987.28,1199.06,761.52,47838.82,1342.68,7421.48,4445.54,0,0,1075.48,0,0,2742.14,410.82,380.76,253.84,584.5,2134.26,5480.94,0,2531.72,197.06,0,0,1142.28,6539.72,364.06,0,2585.16,0,323.98,6202.38,0,1189.04,0,1215.76,0,0,0,0,0,0,280.56,0,0,0,0,0,0,0,0
"111",163833.68,9291.88,7932.5,10627.88,9248.46,15320.58,63.46,1803.6,818.3,1756.84,2164.32,4669.32,3553.76,434.2,21342.6,2398.12,2000.66,3887.76,714.76,0,0,0,1189.04,1032.06,240.48,0,0,0,641.28,303.94,0,260.52,761.52,0,0,0,2421.5,430.86,0,0,0,0,1639.94,367.4,1179.02,93.52,0,0,0,233.8,303.94,307.28,0,721.44,0,0,0,0,0,0,0,0
"112",4806.26,317.3,0,0,0,4051.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.88,0,0,0
"113",5063.44,334,848.36,0,0,1643.28,0,387.44,0,0,0,0,0,0,0,0,0,267.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",6790.22,273.88,1446.22,2551.76,0,280.56,0,374.08,0,1917.16,0,167,200.4,0,487.64,928.52,1085.5,0,0,0,0,0,200.4,0,0,0,210.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.14,0,0,0,0,0,0,0,0,347.36,0,0,0,0,323.98,0,0,0,0,0,0
