"","HL","Non-HL","HL_Prop","NonHL_Prop"
"N/A or no schooling",556212.5,19600800,0.0275939948938366,0.972406005106163
"Nursery school to grade 4",562100,24493962.5,0.0224336924446928,0.977566307555307
"Grade 5, 6, 7, or 8",2236100,24417887.5,0.0838936388035749,0.916106361196425
"Grade 9",794087.5,8128387.5,0.0889985682223822,0.911001431777618
"Grade 10",796700,9785387.5,0.0752876027532375,0.924712397246762
"Grade 11",677575,9059962.5,0.0695838141830006,0.930416185817
"Grade 12",5341012.5,58023612.5,0.0842901303369191,0.915709869663081
"1 year of college",3279312.5,35015450,0.0856334466103557,0.914366553389644
"2 years of college",1117250,9897300,0.101434012283752,0.898565987716248
"4 years of college",2075425,20556637.5,0.0917028662323639,0.908297133767636
"5+ years of college",1302212.5,10267725,0.112551385865308,0.887448614134692
