"","HL","Non-HL","HL_Prop","NonHL_Prop"
"White",11684200,183141000,0.059972734533315,0.940027265466685
"Black",563400,26140400,0.0210981208666931,0.978901879133307
"American Indian/Alaska Native",247000,1306000,0.159047005795235,0.840952994204765
"Asian and/or Pacific Islander",1529800,2229800,0.406904989892542,0.593095010107458
"Other race, non-Hispanic",47400,174000,0.214092140921409,0.785907859078591
