"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"44",183426.6,1999.2,0,3727.08,2256.24,10253.04,1199.52,4098.36,1256.64,5140.8,414.12,4826.64,1556.52,671.16,228.48,214.2,185.64,585.48,742.56,414.12,0,0,0,0,228.48,0,1956.36,0,1342.32,0,0,271.32,1385.16,571.2,328.44,0,271.32,185.64,1442.28,1742.16,0,0,0,0,0,0,385.56,0,0,0,456.96,0,0,0,0,0,0,0,0,0,0,0
"45",261095.520000002,4284,16650.48,5312.16,11766.72,19792.08,3641.4,51907.8,2156.28,19163.76,1999.2,7097.16,7682.64,414.12,1299.48,299.88,1013.88,714,7868.28,499.8,0,228.48,2798.88,828.24,871.08,2970.24,4383.96,0,928.2,385.56,0,599.76,0,0,971.04,2698.92,628.32,342.72,2841.72,1613.64,0,0,0,0,3655.68,0,842.52,0,299.88,0,0,0,0,0,0,171.36,0,0,0,0,0,0
"46",730036.439999997,11052.72,110141.64,9196.32,16007.88,57291.36,9353.4,22248.24,9396.24,43768.2,1570.8,9896.04,20963.04,1270.92,2613.24,4555.32,2641.8,4569.6,12966.24,2327.64,0,3298.68,6868.68,856.8,31059,542.64,756.84,0,12066.6,228.48,0,856.8,1128.12,0,285.6,16950.36,1470.84,171.36,4698.12,0,228.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256.24,0,0,0,0,0,0
"47",537284.999999999,11709.6,22662.36,6854.4,12380.76,47495.28,6097.56,6768.72,14422.8,37427.88,785.4,7025.76,15193.92,1456.56,3555.72,2698.92,785.4,2998.8,25561.2,1113.84,0,13937.28,6069,4526.76,17478.72,1270.92,1813.56,342.72,1128.12,0,0,2941.68,885.36,342.72,2042.04,842.52,228.48,0,1756.44,414.12,0,0,257.04,114.24,1328.04,0,0,928.2,0,0,0,0,0,0,0,299.88,0,0,0,0,0,0
"48",6654.48,0,142.8,871.08,0,85.68,0,571.2,0,0,0,0,485.52,71.4,0,0,1685.04,0,0,257.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2513.28,499.8,0,0,0,0,0,0,0,0,0,0,414.12,0,0,0,0,499.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",49423.08,0,342.72,214.2,357,2784.6,0,0,0,299.88,0,499.8,299.88,499.8,0,0,0,71.4,0,0,0,0,385.56,0,599.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",16521.96,728.28,642.6,756.84,0,685.44,342.72,856.8,371.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.76,0,0,0,0,0,0,0,0,0,671.16,0,0,0,528.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",20805.96,0,157.08,0,985.32,956.76,671.16,0,0,0,0,0,71.4,1613.64,0,0,0,0,0,0,0,0,114.24,0,0,0,0,0,0,0,1399.44,0,0,0,0,0,0,0,0,342.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",46067.28,799.68,0,0,3327.24,2998.8,185.64,0,0,0,0,0,0,2784.6,1013.88,0,0,0,0,0,0,0,0,642.6,299.88,0,0,0,2256.24,0,0,0,0,0,0,0,0,0,0,185.64,0,0,0,0,842.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
