"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"North Dakota",3473.6,1162.32,240.48,988.64,0,5544.4,0,0,0,0,283.9,0,0,0,103.54,0,0,0,0,0,1002,0,0,0,0,0,0,0,430.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.5,2317.96,0,0,0,0,0,0,0,0,0,0,197.06,0,0,0,0,0
"Ohio",130283.38,29675.9,15911.76,30641.16,3587.16,51957.04,4368.72,4896.44,8323.28,17217.7,7197.7,8984.6,16436.14,0,4161.64,5771.52,7919.14,7608.52,704.74,0,2451.56,1459.58,1680.02,3687.36,708.08,0,0,4308.6,7708.72,1903.8,0,3226.44,1169,5911.8,0,2137.6,2314.62,5624.56,744.82,0,0,0,644.62,0,941.88,0,2007.34,0,0,1760.18,0,0,0,0,0,0,0,0,534.4,0,0,0
"Oklahoma",120864.58,3466.92,3513.68,2685.36,1726.78,6245.8,7411.46,1225.78,2501.66,621.24,4348.68,941.88,3720.76,210.42,0,991.98,0,0,531.06,0,487.64,0,1950.56,0,0,4104.86,0,0,0,0,708.08,0,0,0,6616.54,0,0,0,557.78,0,227.12,0,0,0,0,0,0,0,0,0,0,0,1336,0,0,0,247.16,0,2291.24,0,0,0
"Oregon",148285.98,7020.68,14211.7,5818.28,3116.22,10230.42,12187.66,5350.68,14432.14,2531.72,2882.42,1940.54,1720.1,574.48,293.92,6105.52,2117.56,794.92,4796.24,33.4,831.66,1336,136.94,0,0,197.06,0,881.76,3286.56,4128.24,627.92,0,2361.38,1162.32,2939.2,300.6,0,303.94,247.16,0,0,898.46,731.46,664.66,1386.1,621.24,0,0,193.72,287.24,0,217.1,744.82,0,0,0,257.18,334,0,0,0,0
"Pennsylvania",251481.96,42458.08,45003.16,46235.62,8216.4,63186.12,26676.58,9338.64,20400.72,18269.8,22501.58,24074.72,13951.18,6105.52,9953.2,1786.9,7565.1,10474.24,0,0,6669.98,4171.66,1670,1389.44,3363.38,110.22,260.52,4108.2,14245.1,3537.06,0,2638.6,1372.74,544.42,0,2661.98,350.7,2047.42,0,0,1118.9,1753.5,1269.2,0,501,470.94,3774.2,0,0,0,190.38,1643.28,0,708.08,0,0,0,1659.98,1042.08,0,0,0
"Rhode Island",39882.94,10073.44,5374.06,427.52,397.46,1583.16,881.76,1145.62,521.04,2979.28,504.34,4782.88,1816.96,9028.02,2271.2,0,1222.44,203.74,0,220.44,0,0,2080.82,457.58,243.82,0,323.98,317.3,0,180.36,0,0,1419.5,0,0,0,457.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.94,0,0,0,0,0
"South Carolina",117958.78,5921.82,3517.02,4983.28,4498.98,6125.56,1115.56,1680.02,2317.96,1265.86,460.92,3132.92,597.86,3473.6,293.92,2605.2,233.8,818.3,0,0,0,390.78,0,905.14,0,0,0,233.8,0,0,0,0,1025.38,0,0,0,698.06,434.2,0,0,0,0,0,858.38,0,460.92,197.06,0,0,203.74,0,0,0,0,0,0,0,0,0,0,0,0
"South Dakota",12371.36,1162.32,614.56,0,678.02,6963.9,0,0,350.7,0,0,0,3413.48,0,494.32,748.16,0,0,0,0,0,0,0,0,0,0,0,156.98,995.32,0,0,0,0,0,0,0,0,0,0,0,0,698.06,0,0,1185.7,0,0,0,0,153.64,293.92,364.06,0,0,0,5197.04,0,0,0,0,0,0
"Tennessee",121956.76,11599.82,6867.04,8189.68,4983.28,4585.82,3326.64,2702.06,5507.66,6426.16,3039.4,981.96,3560.44,293.92,1382.76,1706.74,1643.28,2154.3,1042.08,0,303.94,2254.5,3126.24,1489.64,0,691.38,0,654.64,313.96,417.5,0,0,814.96,1653.3,0,0,0,63.46,0,0,0,694.72,0,0,0,0,0,0,0,0,0,0,534.4,1098.86,0,0,0,0,253.84,0,0,0
"Texas",3436495.94,50664.46,63303.02,91449.2,34124.78,41292.42,73029.1000000001,25196.96,14879.7,29856.26,50267,9104.84,34054.64,9044.72,3824.3,6523.02,9592.48,3830.98,13283.18,561.12,3914.48,11078.78,9488.94,6877.06,0,651.3,2822.3,3443.54,991.98,2344.68,0,604.54,1599.86,2211.08,2484.96,6446.2,641.28,424.18,1927.18,0,721.44,2378.08,885.1,3253.16,6335.98,915.16,293.92,998.66,0,1078.82,277.22,0,678.02,283.9,0,307.28,460.92,895.12,0,0,0,0
"Utah",117457.78,7094.16,8453.54,1826.98,2675.34,4846.34,2124.24,4442.2,4973.26,584.5,1135.6,1462.92,337.34,6125.56,357.38,3837.66,7247.8,1569.8,0,10230.42,237.14,0,327.32,794.92,0,5153.62,0,300.6,0,858.38,0,0,213.76,280.56,734.8,263.86,374.08,0,0,0,210.42,0,1052.1,420.84,838.34,764.86,203.74,0,0,0,250.5,741.48,0,0,534.4,0,0,0,0,0,0,0
"Vermont",3433.52,5691.36,2150.96,0,0,848.36,0,0,0,0,527.72,0,0,0,0,213.76,1763.52,0,0,0,424.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.76,0,0,230.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia",287463.78,18186.3,21816.88,53436.66,18623.84,15310.56,15056.72,19602.46,9956.54,22879,16102.14,4495.64,31927.06,5664.64,1025.38,3543.74,8239.78,3413.48,12177.64,0,1402.8,10524.34,1466.26,3112.88,220.44,668,313.96,1048.76,631.26,1720.1,0,1048.76,213.76,260.52,1052.1,5811.6,1185.7,0,554.44,0,0,1426.18,313.96,688.04,668,280.56,0,0,0,0,2775.54,300.6,2297.92,237.14,0,243.82,0,0,0,0,0,0
"Washington",224200.84,12187.66,31085.38,20724.7,28142.84,20126.84,23503.58,26476.18,31930.4,6112.2,10681.32,4181.68,3630.58,1299.26,1857.04,10213.72,5504.32,1880.42,5511,183.7,731.46,5728.1,4903.12,3600.52,247.16,7972.58,1670,4261.84,8470.24,6255.82,207.08,0,5547.74,6593.16,2074.14,4034.72,1332.66,594.52,0,0,384.1,597.86,277.22,848.36,267.2,841.68,0,1192.38,0,978.62,1085.5,0,0,0,0,0,317.3,0,0,0,0,0
"West Virginia",6887.08,1372.74,1442.88,0,136.94,1279.22,0,0,290.58,678.02,86.84,651.3,0,0,0,0,0,1205.74,153.64,0,170.34,53.44,0,0,0,364.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.76,0,0,80.16,0,0,0,0,0,0,0,0
"Wisconsin",113105.76,6012,5981.94,3974.6,3370.06,25941.78,83.5,3122.9,4114.88,4141.6,4048.08,4488.96,604.54,584.5,6723.42,1472.94,1135.6,5106.86,0,0,0,0,1302.6,0,0,0,327.32,704.74,0,704.74,10544.38,0,0,0,4021.36,0,1499.66,427.52,925.18,0,2104.2,634.6,237.14,0,671.34,474.28,751.5,0,0,110.22,845.02,140.28,0,0,0,156.98,0,0,0,0,0,0
"Wyoming",15541.02,768.2,287.24,0,0,1219.1,0,330.66,207.08,0,0,561.12,467.6,0,0,0,0,277.22,0,0,233.8,0,0,0,0,0,0,0,0,1700.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.52,0,0,0,0,0
