"","HL","Non-HL","HL_Prop","NonHL_Prop"
"N/A or no schooling",244400,18691600,0.0129066328686101,0.98709336713139
"Nursery school to grade 4",693000,24701800,0.0272890513018413,0.972710948698159
"Grade 5, 6, 7, or 8",2709400,33128400,0.075601738946029,0.924398261053971
"Grade 9",739600,10648000,0.0649478379992272,0.935052162000773
"Grade 10",750000,11969200,0.0589659727026857,0.941034027297314
"Grade 11",716400,10932600,0.0614988411022405,0.938501158897759
"Grade 12",3885600,55561400,0.0653624236715057,0.934637576328494
"1 year of college",894200,10183000,0.0807243707796194,0.919275629220381
"2 years of college",939400,10651000,0.0810498343456654,0.918950165654335
"3 years of college",504800,5105400,0.0899789668817511,0.910021033118249
"4 years of college",953400,12023000,0.0734718411886193,0.926528158811381
"5+ years of college",1041600,9395800,0.0997949680955027,0.900205031904497
