"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"Metropolitan status indeterminable (mixed)",547643.1,103526.64,20126.84,21866.98,16396.06,51686.5,8263.16,8286.54,11182.32,8273.18,7805.58,17114.16,3273.2,10093.48,9128.22,8016,5120.22,2995.98,1125.58,6042.06,4806.26,53.44,1913.82,981.96,524.38,3082.82,674.68,7160.96,2862.38,2835.66,334,0,661.32,0,10888.4,925.18,764.86,758.18,0,2611.88,8480.26,0,1008.68,851.7,4939.86,2725.44,464.26,1082.16,207.08,1386.1,1356.04,307.28,1566.46,975.28,0,1169,1573.14,0,2458.24,283.9,0,0
"Not in metropolitan area",1444833.90000001,109471.84,31967.14,28313.18,43256.34,143265.96,13810.9,15036.68,11820.26,12090.8,4271.86,20029.98,16188.98,7100.84,15988.58,16452.84,3964.58,9432.16,1816.96,94725.7400000001,6730.1,1235.8,5070.12,1513.02,2027.38,10698.02,728.12,23219.68,2404.8,3670.66,2611.88,2004,1085.5,2438.2,25831.56,738.14,1543.08,3002.66,430.86,0,14732.74,0,935.2,2160.98,4422.16,5678,1993.98,8253.14,16536.34,4796.24,1406.14,1442.88,494.32,3376.74,3253.16,5106.86,1656.64,143.62,1309.28,3627.24,0,0
"In metropolitan area: In central/principal city",3941811.22,274083.74,379487.460000001,281849.24,141315.4,87163.98,115193.26,134435,171909.8,92755.14,76943.58,91302.24,107381,67184.1,78206.1,50878.22,45794.74,44933.02,44271.7,2271.2,42768.7,34679.22,29281.78,39719.28,53279.68,16997.26,19779.48,8089.48,18911.08,14876.36,38633.78,30066.68,28496.88,26706.64,3804.26,14665.94,11118.86,6920.48,5941.86,4525.7,1756.84,7748.8,6132.24,9792.88,1275.88,2922.5,3580.48,1336,4625.9,2708.74,3947.88,4505.66,3426.84,1730.12,0,831.66,460.92,3941.2,845.02,0,0,0
"In metropolitan area: Not in central/principal city",5154281.31999999,433986.239999999,431481.24,501267.200000001,326962.62,206188.22,194297.82,207350.54,171151.62,165086.18,194224.34,168960.58,142551.2,137083.62,143356.14,79825.9999999999,75180.06,70761.24,62554.86,6189.02,34281.76,41736.64,23366.64,31953.78,31008.56,28850.92,18296.52,26709.98,37084.02,31713.3,14362,30624.46,21138.86,16436.14,9021.34,28860.94,33383.3,16269.14,15714.7,16576.42,2067.46,11840.3,15384.04,9285.2,10307.24,5527.7,13005.96,5303.92,0,4766.18,6315.94,5531.04,3734.12,2317.96,5070.12,801.6,3754.16,567.8,764.86,227.12,0,0
"In metropolitan area: Central/principal city status indeterminable (mixed)",5885053.27999999,327911.18,330205.76,337510.34,252874.74,201148.16,200556.98,133643.42,120981.48,131719.58,122537.92,103924.1,95670.96,131572.62,75567.5,95016.32,67247.56,31532.94,46225.6,28787.46,23186.28,30868.28,40350.54,25260.42,7551.74,27244.38,46496.14,18086.1,17351.3,24037.98,18921.1,7231.1,13707.36,19422.1,15290.52,18446.82,16753.44,10587.8,15287.18,11302.56,7424.82,14311.9,10150.26,9702.7,8346.66,6853.68,4425.5,6282.54,474.28,5845,4572.46,4228.44,5794.9,2104.2,210.42,243.82,263.86,2972.6,1933.86,0,0,0
