"","HL","Non-HL","HL_Prop","NonHL_Prop"
"0-17",0,64294287.5,0,1
"18-24",3249600,22765712.5,0.124911049982582,0.875088950017418
"25-34",5597150,37806500,0.128955744505358,0.871044255494642
"35-44",4020212.5,33452750,0.107283017722445,0.892716982277555
"45-54",2100675,23291400,0.082729552429252,0.917270447570748
"55-64",1544262.5,19661625,0.0728223470958242,0.927177652904176
"65+",2226087.5,27974837.5,0.0737092489716789,0.926290751028321
