"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"Metropolitan status indeterminable (mixed)",480736.199999999,149625.84,12666.36,79953.7199999999,10167.36,6811.56,15522.36,5640.6,7868.28,8410.92,16779,6083.28,6097.56,9053.52,2784.6,2698.92,1827.84,13166.16,3127.32,2541.84,3127.32,1699.32,2756.04,414.12,299.88,6982.92,742.56,3141.6,342.72,7725.48,328.44,1956.36,0,1870.68,4655.28,1285.2,399.84,8896.44,1642.2,1370.88,0,1542.24,1213.8,128.52,314.16,214.2,1185.24,1242.36,0,2256.24,0,5355,4226.88,0,985.32,0,0,357,414.12,0,0,0
"Not in metropolitan area",1232721.00000002,168475.44,18835.32,187867.68,18007.08,30087.96,21005.88,18735.36,9981.72,15679.44,17949.96,12852,31744.44,8967.84,2584.68,5212.2,5669.16,36285.48,1570.8,3841.32,85508.6399999999,2884.56,14637,1884.96,1527.96,23990.4,1685.04,2641.8,2099.16,11166.96,4583.88,2827.44,842.52,1899.24,6411.72,756.84,699.72,8139.6,971.04,1113.84,0,2798.88,7511.28,3041.64,428.4,171.36,2456.16,1542.24,7197.12,11381.16,12766.32,5769.12,4326.84,0,8525.16,1842.12,3241.56,6069,314.16,385.56,0,0
"In metropolitan area: In central/principal city",3628176.72000007,287199.360000001,369095.159999999,113226.12,205503.48,157222.8,141786.12,101844.96,195036.24,125392.68,129148.32,114154.32,65416.68,49680.12,45624.6,59804.64,48480.6,30273.6,36285.48,44510.76,1313.76,55220.76,29802.36,56263.2,22676.64,10110.24,20891.64,24047.52,35285.88,6854.4,19749.24,15550.92,18863.88,19620.72,8796.48,7268.52,9810.36,3627.12,12123.72,6397.44,20320.44,3113.04,4341.12,5683.44,6283.2,5454.96,6525.96,3812.76,1042.44,642.6,1870.68,2570.4,2299.08,7182.84,828.24,3298.68,0,842.52,257.04,0,0,0
"In metropolitan area: Not in central/principal city",3785913.60000003,362940.48,364868.280000001,261795.240000001,336965.16,256283.16,261309.720000001,175872.48,143728.2,183055.32,179999.4,124664.4,111683.88,115825.08,84751.8000000001,61718.16,71771.2800000001,32958.24,66687.6,36242.64,3455.76,41897.52,27817.44,30073.68,26389.44,23847.6,31387.44,28731.36,16636.2,17592.96,16264.92,20763.12,20091.96,22776.6,14836.92,26546.52,13908.72,12537.84,18635.4,11452.56,7625.52,13308.96,8753.64,14808.36,10253.04,12209.4,7225.68,3655.68,7268.52,885.36,799.68,571.2,1456.56,1884.96,299.88,3170.16,4569.6,0,285.6,299.88,0,0
"In metropolitan area: Central/principal city status indeterminable (mixed)",4460272.32000012,375935.28,270777.36,251742.12,189452.76,243816.720000001,135988.44,166790.4,82452.72,102201.96,81081.84,96747,108428.04,99031.8000000001,61575.36,33629.4,35171.64,44896.32,42868.56,42040.32,30516.36,18978.12,40426.68,15179.64,49151.76,30130.8,18849.6,11666.76,13351.8,15593.76,17335.92,14180.04,13751.64,5112.24,12766.32,11081.28,19035.24,8510.88,8325.24,12794.88,3827.04,9210.6,6154.68,3884.16,10095.96,5540.64,4326.84,11181.24,2042.04,1627.92,199.92,899.64,2256.24,3655.68,299.88,1984.92,171.36,0,4184.04,1799.28,0,0
