"","HL","Non-HL","HL_Prop","NonHL_Prop"
"White",18119977.68,212831276.280134,0.078458018171782,0.921541981828218
"Black",1435953.95999999,34683292.5599882,0.0397559223502999,0.9602440776497
"American Indian/Alaska Native",462057.960000001,2196235.44000002,0.173817517660014,0.826182482339986
"Asian and/or Pacific Islander",4237661.40000005,7110083.4000002,0.373436438225149,0.626563561774851
"Other race, non-Hispanic",76597.9200000001,346818.360000001,0.180904522613065,0.819095477386935
