"","HL","Non-HL","HL_Prop","NonHL_Prop"
"0-17",0,74295400.8799999,0,1
"18-24",5382406.66000001,25693157.0800002,0.173203830026479,0.826796169973521
"25-34",8487881.88000001,32411991.2600001,0.207528318020597,0.792471681979403
"35-44",6587348.4,34584761.4600011,0.159995405200248,0.840004594799752
"45-54",3852867.02,41040734.3000008,0.085822186385468,0.914177813614532
"55-64",2211741.32,34637092.5800021,0.0600220165990075,0.939977983400992
"65+",2090462.58,37979647.6800017,0.0521701229778426,0.947829877022157
