"","HL","Non-HL","HL_Prop","NonHL_Prop"
"Negative",6709.95,82067.8500000001,0.0755813953488371,0.924418604651163
"0-9,999",1592872.2,14382886.0500001,0.0997055773549902,0.90029442264501
"10,000-24,999",2830916.25,29228608.7999999,0.0883018773854232,0.911698122614577
"25,000-49,999",5721972.30000001,54679915.3499998,0.0947316801282125,0.905268319871788
"50,000-74,999",5219525.24999998,48987879.75,0.0962880486531312,0.903711951346869
"75,000-99,999",3623822.54999999,38932411.9500002,0.0851537405171498,0.91484625948285
"100,000+",9733390.20000001,112126894.200001,0.0798733586412008,0.920126641358799
