"","HL","Non-HL","HL_Prop","NonHL_Prop"
"First generation",11909648.5200006,21076351.7999967,0.361051609909205,0.638948390090795
"Second generation",1080481.92,12372434.7600003,0.0803158114854225,0.919684188514577
"Third+ generation",1006397.28000001,70515268.3200107,0.0140712226366252,0.985928777363375
"Unknown",10335721.1999998,153203651.160023,0.0632002009720711,0.936799799027929
